Job ID: 27788185
Node:   spartan-gpgpu171
GPU:    0
GPU 0: NVIDIA H100 80GB HBM3 (UUID: GPU-70ecc709-6022-7e09-50b0-e2070472848f)
cuda: True NVIDIA H100 80GB HBM3
Start:  Tue 21 Jul 2026 18:05:03 AEST
device=cuda, model=conductance, nofruns=1, nofsteps=1000, lrs=[0.1], nparams=112, fname=training_with_Ih.npy, outdir=/home/yitai/drosophila_vision/temporal_filtering/SimulationCode/0trained/conductance/27788185-train-target-spot-syn-strength-fixed-all-network-right_min_neuron1_extent3

round 0

step 120: cost=152.2349  [spot_bright=98.5576  spot_dark=53.6773]
step 121: cost=152.2946  [spot_bright=98.6585  spot_dark=53.6362]
step 122: cost=152.3880  [spot_bright=98.7611  spot_dark=53.6269]
step 123: cost=152.5246  [spot_bright=98.8695  spot_dark=53.6551]
step 124: cost=152.6901  [spot_bright=98.9858  spot_dark=53.7043]
step 125: cost=152.8595  [spot_bright=99.1098  spot_dark=53.7497]
step 126: cost=153.0158  [spot_bright=99.2407  spot_dark=53.7751]
step 127: cost=153.1603  [spot_bright=99.3774  spot_dark=53.7829]
step 128: cost=153.3076  [spot_bright=99.5184  spot_dark=53.7891]
step 129: cost=153.4724  [spot_bright=99.6622  spot_dark=53.8102]
step 130: cost=153.6564  [spot_bright=99.8069  spot_dark=53.8496]
step 131: cost=153.8487  [spot_bright=99.9512  spot_dark=53.8975]
step 132: cost=154.0376  [spot_bright=100.0941  spot_dark=53.9435]
step 133: cost=154.2230  [spot_bright=100.2354  spot_dark=53.9877]
step 134: cost=154.4139  [spot_bright=100.3749  spot_dark=54.0390]
step 135: cost=154.6202  [spot_bright=100.5138  spot_dark=54.1064]
step 136: cost=154.8426  [spot_bright=100.6529  spot_dark=54.1896]
step 137: cost=155.0701  [spot_bright=100.7937  spot_dark=54.2764]
step 138: cost=155.2940  [spot_bright=100.9367  spot_dark=54.3573]
step 139: cost=155.5150  [spot_bright=101.0821  spot_dark=54.4329]
step 140: cost=155.7282  [spot_bright=101.2172  spot_dark=54.5109]
step 141: cost=155.8714  [spot_bright=101.2773  spot_dark=54.5941]
step 142: cost=156.0255  [spot_bright=101.3346  spot_dark=54.6909]
step 143: cost=156.1955  [spot_bright=101.3950  spot_dark=54.8005]
step 144: cost=156.3837  [spot_bright=101.4618  spot_dark=54.9220]
step 145: cost=156.5949  [spot_bright=101.5374  spot_dark=55.0575]
step 146: cost=156.8185  [spot_bright=101.6180  spot_dark=55.2005]
step 147: cost=157.0557  [spot_bright=101.7052  spot_dark=55.3505]
step 148: cost=157.3073  [spot_bright=101.8004  spot_dark=55.5070]
step 149: cost=157.5712  [spot_bright=101.9025  spot_dark=55.6687]
step 150: cost=157.8468  [spot_bright=102.0107  spot_dark=55.8361]
step 151: cost=158.1366  [spot_bright=102.1252  spot_dark=56.0113]
step 152: cost=158.4432  [spot_bright=102.2464  spot_dark=56.1968]
step 153: cost=158.7675  [spot_bright=102.3746  spot_dark=56.3929]
step 154: cost=159.1099  [spot_bright=102.5122  spot_dark=56.5977]
step 155: cost=159.4653  [spot_bright=102.6593  spot_dark=56.8060]
step 156: cost=159.8252  [spot_bright=102.8116  spot_dark=57.0136]
step 157: cost=160.1833  [spot_bright=102.9628  spot_dark=57.2205]
step 158: cost=160.5349  [spot_bright=103.1061  spot_dark=57.4288]
step 159: cost=160.8738  [spot_bright=103.2351  spot_dark=57.6387]
step 160: cost=161.1918  [spot_bright=103.3443  spot_dark=57.8476]
step 161: cost=161.4838  [spot_bright=103.4311  spot_dark=58.0528]
step 162: cost=161.7525  [spot_bright=103.4985  spot_dark=58.2540]
step 163: cost=162.0047  [spot_bright=103.5519  spot_dark=58.4528]
step 164: cost=162.2524  [spot_bright=103.6001  spot_dark=58.6523]
step 165: cost=162.5103  [spot_bright=103.6546  spot_dark=58.8557]
step 166: cost=162.7845  [spot_bright=103.7209  spot_dark=59.0637]
step 167: cost=163.0562  [spot_bright=103.7888  spot_dark=59.2674]
step 168: cost=163.3081  [spot_bright=103.8467  spot_dark=59.4615]
step 169: cost=163.5362  [spot_bright=103.8883  spot_dark=59.6479]
step 170: cost=163.7434  [spot_bright=103.9129  spot_dark=59.8305]
step 171: cost=163.9434  [spot_bright=103.9292  spot_dark=60.0142]
step 172: cost=164.1618  [spot_bright=103.9588  spot_dark=60.2030]
step 173: cost=164.3688  [spot_bright=103.9812  spot_dark=60.3876]
step 174: cost=164.6201  [spot_bright=104.0341  spot_dark=60.5860]
step 175: cost=164.8074  [spot_bright=104.0377  spot_dark=60.7697]
step 176: cost=164.9981  [spot_bright=104.0438  spot_dark=60.9544]
step 177: cost=165.1564  [spot_bright=104.0295  spot_dark=61.1270]
step 178: cost=165.2796  [spot_bright=103.9929  spot_dark=61.2867]
step 179: cost=165.3863  [spot_bright=103.9417  spot_dark=61.4446]
step 180: cost=165.5343  [spot_bright=103.9207  spot_dark=61.6136]
step 181: cost=165.6390  [spot_bright=103.8687  spot_dark=61.7703]
step 182: cost=165.7280  [spot_bright=103.8097  spot_dark=61.9183]
step 183: cost=165.8335  [spot_bright=103.7608  spot_dark=62.0727]
step 184: cost=165.9888  [spot_bright=103.7515  spot_dark=62.2373]
step 185: cost=166.1568  [spot_bright=103.7558  spot_dark=62.4010]
step 186: cost=166.2787  [spot_bright=103.7401  spot_dark=62.5386]
step 187: cost=166.3577  [spot_bright=103.7018  spot_dark=62.6560]
step 188: cost=166.3997  [spot_bright=103.6387  spot_dark=62.7609]
