idx,cell,a_in,a_out,v_th,a_gt,bias_gt,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,v_pre,v_onset
46,Tm5f,0.970887,0.945230,-50.000000,1.008072,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-20.412965,-44.461098
47,TmY10,0.970887,0.657102,-50.000000,1.008079,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-55.171889,-49.039792
48,TmY11,0.970887,1.351555,-50.000000,0.957846,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-59.881950,-54.230550
49,TmY14,0.970887,0.693823,-50.000000,1.040262,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-16.177207,-54.875226
50,TmY15,0.970887,1.331086,-50.000000,1.028229,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,1.430340,-37.994887
51,TmY3,0.970887,0.664965,-50.000000,1.003714,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-42.689101,-51.315407
52,TmY4,0.970887,1.433304,-50.000000,0.971578,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-15.244864,-42.926679
53,TmY5a,0.970887,1.193894,-50.000000,0.992010,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-5.565397,-40.994903
54,TmY9q,0.970887,1.496786,-50.000000,0.982078,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-11.184739,-40.982612
55,TmY9q__perp,0.970887,0.989123,-50.000000,1.048841,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-11.255560,-47.332287
