idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,a_h,v_mid_h_g,v_mid_h_tau,h_slope,v_pre,v_onset
41,Tm21,1.006216,0.000000,0.789748,6.436676,-40.871087,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-41.553774,-41.661613
42,Tm27,1.033604,0.000000,0.789748,1.245750,-47.594306,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-9.192269,-7.961316
43,Tm5a,0.959890,0.000000,0.789748,4.672940,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-42.791854,-41.961756
44,Tm5b,1.019174,0.000000,0.789748,1.716117,-49.821021,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-42.597189,-42.394402
45,Tm5c,1.004574,0.000000,0.789748,2.888425,-47.740153,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-33.125819,-32.569202
46,Tm5f,0.982788,0.000000,0.789748,2.320991,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-27.871088,-27.168165
47,TmY10,1.030106,0.000000,0.789748,0.263540,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-53.421695,-53.318561
48,TmY11,0.974202,0.000000,0.789748,10.000000,-46.928512,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-63.071484,-63.504122
49,TmY14,0.953241,0.000000,0.789748,2.259270,-48.793480,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-44.291095,-44.777083
50,TmY15,1.028875,0.000000,0.789748,2.869659,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-24.973246,-24.062162
51,TmY3,1.012984,0.000000,0.789748,1.650024,-49.546824,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-30.743046,-29.875762
52,TmY4,0.990825,0.000000,0.789748,6.684607,-47.297928,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-59.114366,-59.871186
53,TmY5a,1.044586,0.000000,0.789748,2.775013,-46.604962,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-18.436069,-17.867486
54,TmY9q,1.041045,0.000000,0.789748,3.438546,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-33.927972,-33.915618
55,TmY9q__perp,1.019878,0.000000,0.789748,1.879101,-49.334358,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-32.830252,-32.572996
