cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_th_ca,a_ca,tau_ca,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
11,Mi9,2.000000,40.774712,2.383619,0.915078,-38.168537,-100.000000,18.269670,207.951675,0.000000,-99.838974,0.797016,351.710541,-48.669968,-49.292583,-51.897247,-2.604664,40.782524,40.286285,38.210331,-2.075954,40.782524,40.774712,40.688610,-0.086102
12,T4a,0.978675,50.000000,2.383619,4.126904,-12.131473,-100.000000,10.000000,192.464218,0.000000,-100.000000,1.004302,350.779175,-10.929466,-8.564729,-3.230062,5.334666,131.222519,134.995895,141.325745,6.329849,131.222519,131.284454,131.754059,0.469604
13,T4b,1.021613,50.000000,2.383619,0.390398,-1.405977,-99.882675,10.000000,201.226227,0.000000,-100.000000,1.033789,352.221985,20.359030,20.739941,22.092363,1.352423,124.425842,124.819626,126.217751,1.398125,124.425842,124.432396,124.493042,0.060646
14,T4c,1.048394,50.000000,2.383619,2.733489,-11.266453,-99.956329,10.000000,202.315674,0.000000,-100.000000,0.982049,348.262421,-51.556240,-52.046642,-51.080982,0.965660,81.427017,82.441086,84.615196,2.174110,81.427017,81.443718,81.579353,0.135635
15,T4d,1.030028,50.000000,2.383619,10.000000,7.387499,-100.000000,44.676979,201.321198,0.000000,-100.000000,0.967364,348.044250,-66.640457,-66.981117,-67.561050,-0.579933,65.550674,65.609314,65.841820,0.232506,65.550674,65.551559,65.562737,0.011177
16,Tm1,2.000000,50.000000,2.383619,0.489646,-5.440382,-99.842781,10.000000,208.339905,0.000000,-99.838974,0.824023,347.926697,-14.374475,-15.008835,-17.451445,-2.442610,70.424713,69.901978,67.889214,-2.012764,70.424713,70.415932,70.330338,-0.085594
17,Tm2,2.000000,50.000000,2.383619,0.479340,-5.592978,-99.836647,10.000000,209.107742,0.000000,-99.838974,0.824872,351.985138,-5.954172,-6.077634,-6.526318,-0.448683,77.442940,77.341095,76.971001,-0.370094,77.442940,77.441185,77.423874,-0.017311
18,Tm4,1.849352,50.000000,2.383619,1.528569,-1.109695,-100.000000,10.000000,200.687271,0.000000,-99.838974,0.803674,348.880951,-16.009024,-17.124105,-21.563713,-4.439608,67.371948,66.475792,62.907795,-3.567997,67.371948,67.357040,67.209541,-0.147499
19,Tm9,0.966134,50.000000,2.383619,2.951306,0.650602,-99.841156,32.547989,207.728851,0.000000,-99.838974,0.790210,348.608490,-3.607203,-3.723902,-4.259452,-0.535550,76.043304,75.951088,75.527885,-0.423203,76.043304,76.041878,76.024582,-0.017296
20,T5a,0.985783,50.000000,2.383619,6.670141,-9.270323,-99.820915,12.879188,190.042267,0.000000,-100.000000,1.002515,347.691376,584.249451,615.594421,676.675903,61.081482,686.310791,717.788696,779.085266,61.296570,686.310791,686.816040,691.125000,4.308960
21,T5b,1.028097,50.000000,2.383619,7.802052,-5.686811,-100.000000,23.260456,193.903824,0.000000,-100.000000,1.003053,351.402924,358.867889,371.537933,398.583069,27.045135,460.269043,472.977753,500.105469,27.127716,460.269043,460.468475,462.263458,1.794983
22,T5c,0.990066,50.000000,2.383619,7.765923,-7.037046,-100.000000,10.000000,190.707382,0.000000,-100.000000,0.998897,347.774078,351.683746,352.722595,351.162262,-1.560333,459.919464,461.593475,460.628021,-0.965454,459.919464,459.950562,460.057861,0.107300
23,T5d,0.975349,50.000000,2.383619,9.854313,12.264967,-99.858902,42.625885,196.885788,0.000000,-100.000000,0.954566,352.489594,144.531815,143.670639,141.481613,-2.189026,271.087799,270.980743,270.379883,-0.600861,271.087799,271.086334,271.062897,-0.023438
