trace_id,position,gain_pos_mv,gain_neg_mv,gain_scale_a,delay_pos_ms,delay_neg_ms,tau_pos_ms,tau_neg_ms,r_squared,global_r_squared,sse,global_sse,n_points
T4_PC_pos+4,4,3.7971495901562298e-22,-27.396695131943208,0.574146456524488,8.01183110017227,88.48070516014803,271.19321475154334,999.9999999999999,0.8337449346290631,0.9537083929838981,185.19678776458952,4096.991599485966,216
T4_PC_pos+5,5,1.5180934680752575e-32,-23.242009444418315,0.574146456524488,8.01183110017227,88.48070516014803,271.19321475154334,999.9999999999999,0.7601438813753385,0.9537083929838981,181.23796682164695,4096.991599485966,215
T4_NC_pos-6,-6,8.986436586554571,-6.3370961552213005,0.574146456524488,76.53264309888796,70.04104402636216,258.74891028928135,134.85876427050843,-0.801383571551167,0.9537083929838981,170.78913984578847,4096.991599485966,218
T4_NC_pos-5,-5,10.96180192805494,-9.225666127277679,0.574146456524488,76.53264309888796,70.04104402636216,258.74891028928135,134.85876427050843,-4.881840171945093,0.9537083929838981,169.13251210602837,4096.991599485966,218
T4_NC_pos-4,-4,21.193979648700722,-18.757304455300567,0.574146456524488,76.53264309888796,70.04104402636216,258.74891028928135,134.85876427050843,-0.45914578253183413,0.9537083929838981,173.01666338317412,4096.991599485966,217
T4_NC_pos-3,-3,34.79935812476676,-27.763127151003484,0.574146456524488,76.53264309888796,70.04104402636216,258.74891028928135,134.85876427050843,0.8674130748780303,0.9537083929838981,88.42135750031106,4096.991599485966,218
T4_NC_pos-2,-2,49.26806717373991,-36.483163967676205,0.574146456524488,76.53264309888796,70.04104402636216,258.74891028928135,134.85876427050843,0.9749992919889201,0.9537083929838981,39.804481980424065,4096.991599485966,217
T4_NC_pos-1,-1,57.4146456524488,-38.75169816590609,0.574146456524488,76.53264309888796,70.04104402636216,258.74891028928135,134.85876427050843,0.9820275637697786,0.9537083929838981,42.55413611390095,4096.991599485966,216
T4_NC_pos+0,0,57.4146456524488,-35.55453093762039,0.574146456524488,76.53264309888796,70.04104402636216,258.74891028928135,134.85876427050843,0.9433977434336914,0.9537083929838981,181.63200235338545,4096.991599485966,216
T4_NC_pos+1,1,57.407166391413575,-29.5184346579999,0.574146456524488,76.53264309888796,70.04104402636216,258.74891028928135,134.85876427050843,0.9472882151480264,0.9537083929838981,161.04470037365274,4096.991599485966,217
T4_NC_pos+2,2,45.45448723452191,-16.629367211187418,0.574146456524488,76.53264309888796,70.04104402636216,258.74891028928135,134.85876427050843,0.9395540947779628,0.9537083929838981,176.9312935152417,4096.991599485966,216
T4_NC_pos+3,3,26.1101497494888,-5.413473789091476,0.574146456524488,76.53264309888796,70.04104402636216,258.74891028928135,134.85876427050843,0.9476347751799291,0.9537083929838981,69.98799680105463,4096.991599485966,216
T4_NC_pos+4,4,15.729715430486884,-2.1801199820816113e-22,0.574146456524488,76.53264309888796,70.04104402636216,258.74891028928135,134.85876427050843,0.921060480890252,0.9537083929838981,69.71301106583881,4096.991599485966,215
T4_NC_pos+5,5,13.34431736502146,-8.716079853683801e-33,0.574146456524488,76.53264309888796,70.04104402636216,258.74891028928135,134.85876427050843,0.8562425875338966,0.9537083929838981,85.62464649530476,4096.991599485966,215
T5_PC_pos-6,-6,39.9378950173198,-35.923935079537664,0.5134467226771618,2.2671872576253955,77.97379923734037,344.3608814042176,619.777990043321,0.35291916578655824,0.9073682590366497,822.4651746119416,11725.57008947231,218
T5_PC_pos-5,-5,53.96364253164877,-45.201711618694745,0.5134467226771618,2.2671872576253955,77.97379923734037,344.3608814042176,619.777990043321,0.7425888928183813,0.9073682590366497,741.8592307224399,11725.57008947231,218
T5_PC_pos-4,-4,61.859783867827026,-49.05539402483893,0.5134467226771618,2.2671872576253955,77.97379923734037,344.3608814042176,619.777990043321,0.9331861716495605,0.9073682590366497,303.7010441003176,11725.57008947231,218
T5_PC_pos-3,-3,83.35367347904196,-66.42197092512795,0.5134467226771618,2.2671872576253955,77.97379923734037,344.3608814042176,619.777990043321,0.9647205610698182,0.9073682590366497,317.7019484160282,11725.57008947231,218
T5_PC_pos-2,-2,92.43013602761555,-77.14632142980338,0.5134467226771618,2.2671872576253955,77.97379923734037,344.3608814042176,619.777990043321,0.9772991294207907,0.9073682590366497,263.08545662982493,11725.57008947231,217
T5_PC_pos-1,-1,99.99999999912119,-93.32717757978823,0.5134467226771618,2.2671872576253955,77.97379923734037,344.3608814042176,619.777990043321,0.9706855544930345,0.9073682590366497,424.94203558766554,11725.57008947231,216
T5_PC_pos+0,0,99.99999999999999,-98.68579928686849,0.5134467226771618,2.2671872576253955,77.97379923734037,344.3608814042176,619.777990043321,0.9716560511799933,0.9073682590366497,419.58708528403554,11725.57008947231,216
T5_PC_pos+1,1,87.46519431418102,-99.99999999999999,0.5134467226771618,2.2671872576253955,77.97379923734037,344.3608814042176,619.777990043321,0.9456687915769209,0.9073682590366497,631.2331051086472,11725.57008947231,216
T5_PC_pos+2,2,65.42701637127115,-88.94988653687743,0.5134467226771618,2.2671872576253955,77.97379923734037,344.3608814042176,619.777990043321,0.9341087615857373,0.9073682590366497,456.20699391391685,11725.57008947231,216
T5_PC_pos+3,3,46.592091759897144,-76.00273258141269,0.5134467226771618,2.2671872576253955,77.97379923734037,344.3608814042176,619.777990043321,0.886103128719334,0.9073682590366497,498.0270937587026,11725.57008947231,216
T5_PC_pos+4,4,21.774339528647932,-53.30786962612087,0.5134467226771618,2.2671872576253955,77.97379923734037,344.3608814042176,619.777990043321,0.9156558782482851,0.9073682590366497,225.20850760866708,11725.57008947231,216
T5_PC_pos+5,5,12.335045318720073,-39.44503262338218,0.5134467226771618,2.2671872576253955,77.97379923734037,344.3608814042176,619.777990043321,0.9119899257824041,0.9073682590366497,153.6133892580248,11725.57008947231,215
T5_NC_pos-6,-6,18.44502673225574,-20.505981307267405,0.5134467226771618,116.53903655729422,41.683252860186286,333.448606402315,999.9999999999999,-0.03442619298713656,0.9073682590366497,1513.8935006786185,11725.57008947231,218
T5_NC_pos-5,-5,23.208670690017005,-27.707455401596963,0.5134467226771618,116.53903655729422,41.683252860186286,333.448606402315,999.9999999999999,0.2189339240518552,0.9073682590366497,1062.4613473301442,11725.57008947231,218
T5_NC_pos-4,-4,25.187331291690377,-31.761703292453355,0.5134467226771618,116.53903655729422,41.683252860186286,333.448606402315,999.9999999999999,0.5120089307308031,0.9073682590366497,412.5209791339718,11725.57008947231,217
T5_NC_pos-3,-3,34.104143285264676,-42.79767047091636,0.5134467226771618,116.53903655729422,41.683252860186286,333.448606402315,999.9999999999999,0.7410467464922512,0.9073682590366497,279.2517523152898,11725.57008947231,217
T5_NC_pos-2,-2,39.610525904731446,-47.45795041998347,0.5134467226771618,116.53903655729422,41.683252860186286,333.448606402315,999.9999999999999,0.8020264876055823,0.9073682590366497,348.303970165388,11725.57008947231,217
T5_NC_pos-1,-1,47.918533465051766,-51.34467226726496,0.5134467226771618,116.53903655729422,41.683252860186286,333.448606402315,999.9999999999999,0.7828285489954524,0.9073682590366497,500.94310069982424,11725.57008947231,216
T5_NC_pos+0,0,50.66990021861882,-51.34467226771618,0.5134467226771618,116.53903655729422,41.683252860186286,333.448606402315,999.9999999999999,0.8309070081928667,0.9073682590366497,528.7829787230463,11725.57008947231,217
T5_NC_pos+1,1,51.34467226771618,-44.908717368937374,0.5134467226771618,116.53903655729422,41.683252860186286,333.448606402315,999.9999999999999,0.8903448402400241,0.9073682590366497,422.8153540742106,11725.57008947231,217
T5_NC_pos+2,2,45.67102772486512,-33.593287130374186,0.5134467226771618,116.53903655729422,41.683252860186286,333.448606402315,999.9999999999999,0.9392276429022337,0.9073682590366497,194.58815463259504,11725.57008947231,217
T5_NC_pos+3,3,39.023353958435095,-23.92255681679279,0.5134467226771618,116.53903655729422,41.683252860186286,333.448606402315,999.9999999999999,0.9127851016396054,0.9073682590366497,260.58808598294735,11725.57008947231,216
T5_NC_pos+4,4,27.37075095243318,-11.179963269444057,0.5134467226771618,116.53903655729422,41.683252860186286,333.448606402315,999.9999999999999,0.7745689583201779,0.9073682590366497,471.32336661858585,11725.57008947231,216
T5_NC_pos+5,5,20.252922726369313,-6.333388592971089,0.5134467226771618,116.53903655729422,41.683252860186286,333.448606402315,999.9999999999999,0.6756435698422831,0.9073682590366497,472.4664341174786,11725.57008947231,215
