,C2,C3,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,R1-6,R7,R8,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9
R1-6,4.490737,0.100000,3.030050,1.483874,0.136199,11.322887,,,,,0.191913,,,1.641550,,,,,,,,,,,,,,,,,,
R7,,0.100000,16.922905,,0.429347,,,0.100000,1.814342,4.086749,,,0.201422,,,,,,,,,,,,,,,1.248043,,,,
R8,1.858719,0.100000,9.308008,1.338252,0.712528,,0.100000,0.417500,1.501235,2.145702,,0.100000,2.421033,5.267338,,,,,,,,,,,,,,0.679518,1.219871,,,
T1,,,,0.100000,1.873282,,0.100000,,,0.964645,0.100000,0.301912,1.248804,,,,,,,,,,,,,1.262746,1.015228,0.100000,,,1.182761,
T2,,,,,,,0.100000,0.442878,,0.851235,,,,,0.951268,0.986414,3.417567,,,,,,,,,1.063277,0.997588,,2.127670,4.875566,0.854062,
T2a,3.415968,,,,,,,0.594846,,,,,,,1.096187,3.568011,0.100000,,,,,,,,,1.329153,,1.559509,0.965626,0.100000,1.742799,
T3,,0.100000,,,,,,,,,,,,,0.714797,0.960306,0.958831,,,,0.826862,,,,,1.237487,,,0.464036,0.412611,,
T4a,,1.586547,,,,,,,,0.100187,,,,,,,,0.799578,0.100000,2.016004,0.100000,0.100000,,,,,,,,,,
T4b,,,,,,,,0.100000,0.100000,0.100000,,,,,,,,0.100000,3.748222,,1.860334,,0.100000,,,,,,,,,
T4c,,,,,,,,,,1.153510,,,,,0.967843,,,,,0.100000,,,,1.217876,0.248429,,,,,,,
T4d,,,,,,,,0.100000,,,,,,,,,,,,0.100000,0.100000,,,,0.100000,,,,,,,
T5a,,,,,,,,,,,,,,,2.561323,,,0.100000,,,,1.539383,0.824685,,,,2.888275,,,,,
T5b,,,,,,,,,,,,,,,0.640190,,,,0.100000,,,2.249256,3.699114,,,,,,,,,
T5c,,,,,,,,,,,,,,,1.545911,,,,,2.369225,,,0.100000,0.100000,0.100000,,,,,,,
T5d,,,,,,,,,,,,,,,1.630771,,,,,0.164831,5.542226,,,,0.100000,,,,,,,
Tm1,1.865295,1.374867,,0.359476,,,0.138796,0.944858,1.643019,1.707635,,,,0.699904,0.256854,0.390735,0.538743,,,0.100000,,0.100000,0.128904,0.100000,0.100000,0.440380,0.378181,0.100000,0.388571,5.969262,0.100000,2.695141
Tm2,,5.622823,0.100000,0.100000,,,0.972441,0.967584,1.624150,3.017329,,,,0.551699,0.965490,1.676281,0.992893,3.245355,,1.962721,,1.808481,0.272543,0.100000,0.283692,0.100000,,,1.847764,2.687534,0.100000,0.100000
Tm20,,0.132671,,,,,,,0.100000,3.434832,,,,4.944010,0.150300,9.833200,,,,,,,,,,0.100000,0.100000,0.334042,0.982142,,,2.184648
Tm21,,,,,,,,1.599870,,,,,,,0.100000,0.970659,,,,,,,,,,0.276099,,,0.100000,,,
Tm3,2.181607,0.105635,1.506748,0.100000,,,,0.110633,0.100000,3.561270,,,,,0.752531,2.258538,1.438138,0.902151,0.434195,0.851053,0.100000,,0.431384,,0.100000,,,,,1.120597,1.416597,
Tm4,2.428915,0.686903,,2.110280,,,,0.100000,1.640832,,,,,1.877153,1.543897,5.585977,2.230850,,,,,0.100000,0.100000,0.161790,11.325291,0.566079,1.663834,,0.648153,0.694351,2.774226,
Tm9,,,,,0.398184,,,,0.100000,0.100000,,,,,0.260234,0.100000,,,,,,0.608822,0.100000,3.667390,0.100000,0.100000,0.100000,0.100000,0.100000,,0.100000,1.031855
