cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre,v_onset,v_sti_end,delta_v
16,Tm1,0.984579,5.452900,0.993760,0.972156,-0.150705,-50.000000,10.450732,207.485611,201.055634,-0.028681,5.507406,5.452900,5.353544,-0.099357
17,Tm2,1.023394,6.976596,0.993760,1.019003,-0.160711,-50.000000,9.256145,193.568863,209.659485,-0.044140,7.009527,6.976596,6.898855,-0.077741
18,Tm4,0.989159,3.008826,0.993760,0.984631,-0.010867,-50.000000,9.700793,207.589294,207.192917,-0.001330,3.032188,3.008826,2.962664,-0.046162
19,Tm9,1.037374,0.536720,0.993760,0.981081,0.251163,-50.000000,9.644872,190.560944,195.331085,0.017319,0.545113,0.536720,0.528177,-0.008543
20,T5a,1.001926,4.730613,0.993760,1.039030,0.228873,-50.000000,9.777219,203.631500,195.344086,0.005786,4.711743,4.730613,4.728174,-0.002439
21,T5b,1.015998,4.253765,0.993760,0.985972,0.470502,-50.000000,10.348462,206.082962,200.538666,0.011549,4.238044,4.253765,4.252262,-0.001503
22,T5c,1.005224,4.584105,0.993760,1.012479,0.205635,-50.000000,9.045854,203.570480,194.958984,-0.023786,4.565148,4.584105,4.581596,-0.002509
23,T5d,1.047278,3.791761,0.993760,0.993893,0.192412,-50.000000,10.582585,203.215820,191.533447,0.046651,3.777760,3.791761,3.789647,-0.002115
24,T1,0.954078,0.746733,0.993760,1.012125,-0.017432,-50.000000,10.758035,196.320892,206.558624,0.047557,0.791352,0.746733,0.667980,-0.078753
25,T2,1.003590,8.324051,0.993760,1.031641,0.072361,-50.000000,9.195737,198.650711,207.715988,-0.044879,8.282295,8.324051,8.327466,0.003415
26,T2a,1.011558,6.046320,0.993760,0.990218,0.112329,-50.000000,9.982983,209.034470,205.522491,0.041072,6.025599,6.046320,6.044626,-0.001694
27,T3,0.967396,8.100804,0.993760,1.049193,0.268636,-50.000000,10.975936,205.830795,198.157242,0.042834,8.071221,8.100804,8.102059,0.001255
28,C2,1.016753,0.216560,0.993760,1.002094,0.073137,-50.000000,10.005856,207.993500,190.699677,0.013730,0.202616,0.216560,0.239599,0.023038
29,C3,0.967539,-1.616142,0.993760,0.970944,-0.252790,-50.000000,9.204706,207.431686,193.206268,0.014410,-1.633848,-1.616142,-1.578176,0.037966
30,Lawf1,0.977306,7.936613,0.993760,1.011656,0.496357,-50.000000,10.617880,192.164673,200.927261,-0.029736,7.915906,7.936613,7.940026,0.003414
31,Lawf2,0.993651,1.494504,0.993760,0.992238,-0.083267,-50.000000,9.762466,200.859055,207.018768,-0.007933,1.488741,1.494504,1.491695,-0.002809
32,Dm3v,0.983609,2.382103,0.993760,0.992152,-0.400270,-50.000000,10.359980,194.716965,190.874130,0.045439,2.372936,2.382103,2.377242,-0.004861
33,Lai,1.016795,-21.711452,0.993760,0.998594,0.420936,-50.000000,10.403305,190.192444,203.871338,-0.039209,-21.455486,-21.711452,-22.464001,-0.752548
34,Mi10,1.019421,-2.558688,0.993760,0.952092,-0.426646,-50.000000,10.742604,196.899567,209.578339,-0.025667,-2.548287,-2.558688,-2.559553,-0.000865
35,Mi13,0.973971,0.072092,0.993760,1.032477,-0.140550,-50.000000,9.105536,208.201324,201.576218,0.048998,0.074168,0.072092,0.070192,-0.001899
36,Mi14,1.039411,4.736353,0.993760,1.004934,-0.490879,-50.000000,9.336597,208.702057,199.915192,-0.042450,4.711093,4.736353,4.738823,0.002470
37,Mi15,1.032235,-2.166966,0.993760,1.024723,-0.147042,-50.000000,10.325129,198.949310,208.194611,-0.025544,-2.149735,-2.166966,-2.205085,-0.038118
38,Mi2,0.987842,2.547148,0.993760,0.990439,0.355975,-50.000000,10.659301,204.840637,206.159286,0.033027,2.541752,2.547148,2.545605,-0.001544
39,Tm16,0.990538,-5.243918,0.993760,1.037018,-0.375450,-50.000000,9.822995,208.011841,190.244339,0.030631,-5.220379,-5.243918,-5.244725,-0.000807
40,Tm20,1.015275,0.871482,0.993760,1.048516,-0.253399,-50.000000,9.073511,199.742828,190.045731,0.039968,0.889881,0.871482,0.824562,-0.046920
41,Tm21,1.015338,4.466915,0.993760,1.005770,0.317724,-50.000000,9.469216,194.716690,190.401993,-0.030052,4.449483,4.466915,4.465219,-0.001695
42,Tm27,1.025264,1.551342,0.993760,1.041422,-0.448285,-50.000000,9.448336,209.893509,196.410645,-0.046340,1.544672,1.551342,1.554982,0.003640
43,Tm5a,0.995723,-1.205199,0.993760,0.958605,0.072207,-50.000000,9.711624,191.646286,202.162918,0.020297,-1.191713,-1.205199,-1.259936,-0.054737
44,Tm5b,1.005439,-1.977981,0.993760,0.965946,-0.102769,-50.000000,9.816444,194.058090,203.826416,-0.012108,-1.961939,-1.977981,-2.010791,-0.032810
45,Tm5c,1.017815,1.874285,0.993760,0.951599,0.466567,-50.000000,10.153218,196.321396,191.795975,-0.046937,1.884162,1.874285,1.828620,-0.045665
46,Tm5f,1.003193,1.790056,0.993760,0.985038,-0.058754,-50.000000,9.237068,207.609406,196.824493,-0.040975,1.782974,1.790056,1.789284,-0.000771
47,TmY10,1.029660,-0.106439,0.993760,1.022249,0.286823,-50.000000,9.450476,203.767639,192.690552,0.003191,-0.099663,-0.106439,-0.110579,-0.004141
48,TmY11,0.979175,-10.629891,0.993760,1.026451,0.431371,-50.000000,9.699956,203.463242,191.850693,-0.028460,-10.580914,-10.629891,-10.628240,0.001652
49,TmY14,0.998908,11.128149,0.993760,1.017870,-0.347388,-50.000000,10.445883,202.671066,193.584747,0.006445,11.080107,11.128149,11.134810,0.006661
50,TmY15,0.989969,12.110575,0.993760,0.973265,0.199235,-50.000000,10.534609,200.353867,198.079178,0.035075,12.058417,12.110575,12.119365,0.008790
51,TmY3,1.014836,7.361145,0.993760,1.049552,0.333917,-50.000000,9.255827,194.369797,197.316650,-0.014832,7.334588,7.361145,7.361891,0.000746
52,TmY4,1.038570,2.074726,0.993760,1.028822,0.423059,-50.000000,10.796340,196.562454,202.553055,-0.032365,2.069931,2.074726,2.072469,-0.002257
53,TmY5a,0.958207,5.872606,0.993760,1.003297,-0.165313,-50.000000,10.922433,194.559814,206.372452,0.040182,5.841336,5.872606,5.879296,0.006690
54,TmY9q,1.011850,2.643852,0.993760,1.026800,-0.393107,-50.000000,9.134859,209.240875,192.545044,-0.018215,2.632415,2.643852,2.641108,-0.002744
55,TmY9q__perp,0.969838,3.100605,0.993760,1.007722,-0.085643,-50.000000,9.769785,196.472992,192.738632,0.000348,3.088197,3.100605,3.098774,-0.001830
