,C2,C3,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,R1-6,R7,R8,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9
R1-6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,1.000000,,,1.000000,,,,,,,,,,,,,,,,,,
R7,,1.000000,1.000000,,1.000000,,,1.000000,1.000000,1.000000,,,1.000000,,,,,,,,,,,,,,,1.000000,,,,
R8,1.000000,1.000000,1.000000,1.000000,1.000000,,1.000000,1.000000,1.000000,1.000000,,1.000000,1.000000,1.000000,,,,,,,,,,,,,,1.000000,1.000000,,,
T1,,,,1.000000,1.000000,,1.000000,,,1.000000,1.000000,1.000000,1.000000,,,,,,,,,,,,,1.000000,1.000000,1.000000,,,1.000000,
T2,,,,,,,1.000000,1.000000,,1.000000,,,,,1.000000,1.000000,1.000000,,,,,,,,,1.000000,1.000000,,1.000000,1.000000,1.000000,
T2a,1.000000,,,,,,,1.000000,,,,,,,1.000000,1.000000,1.000000,,,,,,,,,1.000000,,1.000000,1.000000,1.000000,1.000000,
T3,,1.000000,,,,,,,,,,,,,1.000000,1.000000,1.000000,,,,1.000000,,,,,1.000000,,,1.000000,1.000000,,
T4a,,1.000000,,,,,,,,1.000000,,,,,,,,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,,,,,,
T4b,,,,,,,,1.000000,1.000000,1.000000,,,,,,,,1.000000,1.000000,,1.000000,,1.000000,,,,,,,,,
T4c,,,,,,,,,,1.000000,,,,,1.000000,,,,,1.000000,,,,1.000000,1.000000,,,,,,,
T4d,,,,,,,,1.000000,,,,,,,,,,,,1.000000,1.000000,,,,1.000000,,,,,,,
T5a,,,,,,,,,,,,,,,1.000000,,,1.000000,,,,1.000000,1.000000,,,,1.000000,,,,,
T5b,,,,,,,,,,,,,,,1.000000,,,,1.000000,,,1.000000,1.000000,,,,,,,,,
T5c,,,,,,,,,,,,,,,1.000000,,,,,1.000000,,,1.000000,1.000000,1.000000,,,,,,,
T5d,,,,,,,,,,,,,,,1.000000,,,,,1.000000,1.000000,,,,1.000000,,,,,,,
Tm1,1.000000,1.000000,,1.000000,,,1.000000,1.000000,1.000000,1.000000,,,,1.000000,1.000000,1.000000,1.000000,,,1.000000,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Tm2,,1.000000,1.000000,1.000000,,,1.000000,1.000000,1.000000,1.000000,,,,1.000000,1.000000,1.000000,1.000000,1.000000,,1.000000,,1.000000,1.000000,1.000000,1.000000,1.000000,,,1.000000,1.000000,1.000000,1.000000
Tm20,,1.000000,,,,,,,1.000000,1.000000,,,,1.000000,1.000000,1.000000,,,,,,,,,,1.000000,1.000000,1.000000,1.000000,,,1.000000
Tm21,,,,,,,,1.000000,,,,,,,1.000000,1.000000,,,,,,,,,,1.000000,,,1.000000,,,
Tm3,1.000000,1.000000,1.000000,1.000000,,,,1.000000,1.000000,1.000000,,,,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,1.000000,,1.000000,,,,,1.000000,1.000000,
Tm4,1.000000,1.000000,,1.000000,,,,1.000000,1.000000,,,,,1.000000,1.000000,1.000000,1.000000,,,,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,1.000000,1.000000,1.000000,
Tm9,,,,,1.000000,,,,1.000000,1.000000,,,,,1.000000,1.000000,,,,,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,1.000000,1.000000
