edge_idx,src_node,tar_node,source_cell,target_cell,syn_sign,syn_strength_edge
193,7562,3442,L1,C2,-1,10.000000
194,13351,11967,Mi13,Tm2,-1,0.100000
195,1139,11167,Mi1,Tm3,1,5.420222
196,13797,8346,Tm1,T2a,1,0.100000
197,4950,13588,L5,Mi4,1,6.303076
198,7176,4632,Mi1,Tm27,1,1.000979
199,2026,6332,L4,Tm4,1,6.269466
200,11057,3676,Mi9,Tm2,-1,5.651548
201,9336,13689,L2,Tm4,1,2.427431
202,10712,889,L4,L2,1,1.764640
203,12734,9839,Tm1,Mi4,1,8.878754
204,5688,8664,Mi13,Tm4,-1,0.100000
205,7627,7458,Tm1,Tm20,1,0.967393
206,7427,9383,Tm4,Mi14,1,0.520701
207,1564,8610,Tm1,T5d,1,1.005819
208,6979,8161,Mi10,Lawf1,1,0.170606
209,13194,12774,Tm9,T5d,1,1.026354
210,12635,3141,L1,C3,-1,2.400670
211,12891,5127,Lawf1,L3,1,2.529952
212,13410,4315,Tm3,TmY14,1,1.764769
213,4918,5019,L4,T2,1,0.100000
214,479,5588,Tm3,TmY15,1,1.810496
215,5829,3106,L3,Tm5c,1,0.985304
216,4920,1369,L3,Tm20,1,1.045876
217,9644,7510,TmY5a,Tm27,-1,0.950382
218,4541,11874,T4a,C3,1,1.030380
219,12666,13858,Lai,T1,-1,1.020365
220,9728,10344,C2,L2,-1,4.419193
221,11782,13792,L2,Tm2,1,2.180845
222,12074,9280,Mi2,Mi1,-1,0.961134
223,12387,11512,Tm1,T3,1,1.039197
224,6850,12734,Mi14,Tm1,-1,0.859439
225,11077,1326,L4,Tm2,1,0.110422
226,1910,1087,C3,T2,-1,0.998791
227,10654,13946,Mi1,T2,1,0.100000
228,6564,2835,C3,Mi1,-1,2.574340
229,11752,7336,Mi9,Tm5b,-1,0.986922
230,79,7290,C2,L3,-1,1.332421
231,7234,1218,Tm27,Tm27,1,1.042142
232,11177,7740,L1,Mi1,-1,4.433372
233,6729,6026,Mi4,Tm16,-1,1.780203
234,1486,11308,T4b,T4b,1,0.984591
235,7805,5415,C3,Tm9,-1,1.002265
236,6030,6957,Tm5c,Mi15,-1,1.920456
237,3033,4886,Tm4,TmY5a,1,1.047457
238,11967,10197,Tm2,T2,1,0.100000
239,14008,5588,T4c,TmY15,1,4.705759
240,1973,11377,L3,Mi1,1,0.439511
241,13717,3195,L5,T2,1,0.100000
242,13248,2705,T2a,TmY5a,1,1.022161
243,9738,3387,Tm3,T2,1,1.045148
244,4803,4161,Mi1,T3,1,1.047066
245,12462,4977,C2,L2,-1,4.201102
246,1741,8551,L5,Mi4,1,0.100000
247,8899,3763,Tm3,TmY14,1,0.100000
248,7654,2423,Mi1,T4d,1,1.022079
249,10136,5000,Mi4,TmY3,-1,0.100000
250,1582,13270,TmY5a,TmY15,-1,0.140584
251,3859,1991,Mi1,T2,1,0.100000
252,12388,275,Mi4,TmY11,-1,1.707995
253,12460,2321,Tm9,T5d,1,0.987757
254,1561,2206,L4,L2,1,5.447188
255,329,11858,Mi9,T4a,-1,0.100000
256,2859,528,Tm1,T5a,1,0.855562
257,6092,6784,Tm5c,Mi15,-1,1.913683
258,8131,8918,Tm9,T5a,1,0.967197
259,11480,9448,Mi9,TmY3,-1,9.998534
260,6647,3972,C3,Tm4,-1,0.100000
261,2837,5405,Tm1,TmY4,1,0.980973
262,12580,3397,L3,Mi1,1,5.431450
263,1625,5877,Tm16,TmY9q__perp,1,0.982628
264,436,9763,L2,L5,1,4.479141
265,5528,934,Lawf2,Lai,1,0.100000
266,11167,6886,Tm3,TmY14,1,0.100000
267,9887,14219,L4,TmY3,1,0.100000
268,2670,8054,Lawf2,Lai,1,1.858051
269,1598,429,Mi1,T4d,1,1.023588
270,14223,9723,L1,C3,-1,2.362526
271,4230,7502,L5,Tm20,1,0.986565
272,1284,3390,C3,T1,-1,1.016209
273,5813,12263,Tm4,T3,1,1.043009
274,4443,5742,L4,Tm4,1,0.100000
275,1406,10524,TmY10,Mi4,1,0.100665
276,3186,14131,R8,R7,-1,0.799889
277,9286,14113,Mi9,Mi4,-1,9.247951
278,8529,4565,Mi1,Tm3,1,4.789778
279,11659,11958,Mi4,Tm16,-1,1.722802
