idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,a_h,v_mid_h_g,v_mid_h_tau,h_slope,v_pre,v_onset
13,T4b,0.995945,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-42.757090,-42.255110
14,T4c,1.021262,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-39.219033,-38.649890
15,T4d,1.016327,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-39.479175,-38.970993
16,Tm1,0.881127,0.000000,1.702619,0.710109,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-23.509746,-24.129780
17,Tm2,0.588832,0.000000,1.702619,0.790599,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-14.037294,-14.180627
18,Tm4,0.395856,0.000000,1.702619,1.054681,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-20.550402,-21.350568
19,Tm9,0.495788,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-45.541691,-45.567272
20,T5a,1.021630,0.000000,1.702619,0.909623,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-2.447728,-2.367501
21,T5b,1.034566,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-4.689487,-4.666785
22,T5c,0.956650,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-3.470022,-3.422169
23,T5d,0.963264,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-5.473455,-5.479605
24,T1,1.012184,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-25.846112,-26.902985
25,T2,0.985707,0.000000,1.702619,0.996987,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-5.435548,-5.525676
26,T2a,0.991097,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-16.781897,-17.235252
27,T3,1.023418,0.000000,1.702619,0.601772,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-4.242534,-4.339691
28,C2,0.950748,0.000000,1.702619,0.103014,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-24.854084,-24.364503
29,C3,1.044875,0.000000,1.702619,0.633718,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-36.464014,-36.033429
30,Lawf1,1.008557,0.000000,1.702619,4.014211,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-52.047739,-52.014384
31,Lawf2,0.985411,0.000000,1.702619,2.186434,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-14.625829,-14.711033
32,Dm3v,1.024335,0.000000,1.702619,3.300547,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-8.482474,-8.629568
33,Lai,0.985501,0.000000,1.702619,0.447179,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-50.758228,-50.664564
34,Mi10,1.049498,0.000000,1.702619,6.208470,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-67.227998,-67.366592
35,Mi13,1.033615,0.000000,1.702619,1.040434,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-36.394385,-36.529564
36,Mi14,0.975616,0.000000,1.702619,2.412145,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-3.357415,-3.441888
37,Mi15,1.030568,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-51.519931,-51.571895
38,Mi2,0.954652,0.000000,1.702619,2.976169,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-14.240808,-14.170566
39,Tm16,0.988401,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-62.101332,-62.160739
40,Tm20,0.963166,0.000000,1.702619,0.966602,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-20.050898,-20.306579
41,Tm21,0.975301,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-23.473847,-24.119184
42,Tm27,0.957696,0.000000,1.702619,0.512447,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-32.486570,-32.089131
43,Tm5a,1.042586,0.000000,1.702619,0.142604,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-59.395687,-59.464256
44,Tm5b,1.001143,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-60.267445,-60.383863
45,Tm5c,1.000161,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-41.899246,-41.837962
46,Tm5f,1.011422,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-13.516805,-13.349222
47,TmY10,1.000041,0.000000,1.702619,1.397110,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-53.197592,-53.177723
48,TmY11,0.992206,0.000000,1.702619,5.336481,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-67.951064,-68.140827
49,TmY14,1.002196,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-1.744402,-1.878229
50,TmY15,0.953806,0.000000,1.702619,0.255408,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,0.001704,-0.023830
51,TmY3,0.953060,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-23.208791,-23.336444
52,TmY4,1.020762,0.000000,1.702619,1.190604,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-50.788745,-51.284778
53,TmY5a,1.004038,0.000000,1.702619,1.616655,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-2.892118,-2.840879
54,TmY9q,0.950163,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-13.284572,-13.449391
55,TmY9q__perp,0.979399,0.000000,1.702619,3.101741,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-5.109415,-5.008827
