idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
30,Lawf1,0.962332,50.000000,1.762718,0.322175,-1.140268,-100.000000,-100.000000,0.997383,351.753357,10.000000,198.799423,0.000000,-4.472368,-4.455522,-4.474960,-0.019438,95.277603,95.294403,95.275032,-0.019371,95.277603,95.277916,95.278610,0.000694
31,Lawf2,0.997477,50.000000,1.762718,0.100000,-1.340217,-100.000000,-100.000000,1.044160,350.335266,10.000000,198.799423,0.000000,-1.916832,-1.916113,-1.917481,-0.001368,102.414505,102.415245,102.413826,-0.001419,102.414505,102.414505,102.414482,-0.000023
32,Dm3v,1.047244,50.000000,1.762718,1.926822,0.481705,-100.000000,-100.000000,1.014968,350.564484,10.000000,198.799423,0.000000,1.294271,1.289008,1.286292,-0.002716,102.810463,102.805122,102.802361,-0.002762,102.810463,102.810371,102.809868,-0.000504
33,Lai,0.996168,13.261734,1.762718,0.914768,0.422755,-100.000000,-100.000000,0.964539,350.162720,10.000000,198.799423,0.000000,-127.042046,-127.747826,-136.408386,-8.660561,13.264119,13.128362,11.822739,-1.305623,13.264119,13.261734,13.207426,-0.054308
34,Mi10,0.977003,50.000000,1.762718,0.100000,-0.598502,-100.000000,-100.000000,1.032539,349.954590,10.000000,198.799423,0.000000,-22.392410,-22.333712,-22.392706,-0.058994,80.132835,80.193436,80.132530,-0.060905,80.132835,80.133965,80.137009,0.003044
35,Mi13,1.006865,50.000000,1.762718,1.980341,1.391571,-100.000000,-100.000000,0.970683,348.682587,10.000000,198.799423,0.000000,1.631800,1.629804,1.626733,-0.003070,98.652260,98.650322,98.647339,-0.002983,98.652260,98.652229,98.651993,-0.000237
36,Mi14,1.011968,50.000000,1.762718,1.975326,1.366711,-100.000000,-100.000000,1.049325,351.495239,10.000000,198.799423,0.000000,3.032406,3.027617,3.036204,0.008587,108.114449,108.109421,108.118431,0.009010,108.114449,108.114357,108.114136,-0.000221
37,Mi15,1.032360,50.000000,1.762718,0.100000,-1.089541,-100.000000,-100.000000,1.019075,350.075195,10.000000,198.799423,0.000000,-29.820749,-29.931335,-31.162930,-1.231594,71.517944,71.405251,70.150169,-1.255081,71.517944,71.515968,71.467026,-0.048943
38,Mi2,1.001136,50.000000,1.762718,1.935744,1.277175,-100.000000,-100.000000,1.025734,348.085114,10.000000,198.799423,0.000000,1.282941,1.273582,1.267486,-0.006096,103.889366,103.879776,103.873512,-0.006264,103.889366,103.889198,103.888260,-0.000938
39,Tm16,1.030278,50.000000,1.762718,0.100000,-0.565003,-100.000000,-100.000000,0.955366,350.401978,10.000000,198.799423,0.000000,-44.893585,-44.741219,-44.022141,0.719078,52.646824,52.792385,53.479366,0.686981,52.646824,52.649258,52.677753,0.028496
