panel,cell,time_s,amplitude
4B,Mi4,0.8285420944558521,0.29827089337175794
4B,Mi4,0.8316221765913758,0.2953890489913545
4B,Mi4,0.8347022587268994,0.29250720461095103
4B,Mi4,0.837782340862423,0.29250720461095103
4B,Mi4,0.8408624229979467,0.2896253602305475
4B,Mi4,0.8439425051334702,0.2896253602305475
4B,Mi4,0.8470225872689938,0.28674351585014407
4B,Mi4,0.8501026694045175,0.2838616714697406
4B,Mi4,0.8531827515400411,0.2838616714697406
4B,Mi4,0.8562628336755647,0.28097982708933716
4B,Mi4,0.8593429158110883,0.28097982708933716
4B,Mi4,0.8624229979466119,0.2780979827089337
4B,Mi4,0.8655030800821355,0.276657060518732
4B,Mi4,0.8685831622176592,0.27521613832853026
4B,Mi4,0.8716632443531828,0.2737752161383285
4B,Mi4,0.8747433264887063,0.2723342939481268
4B,Mi4,0.87782340862423,0.27089337175792505
4B,Mi4,0.8809034907597536,0.27089337175792505
4B,Mi4,0.8839835728952772,0.26945244956772335
4B,Mi4,0.8870636550308009,0.2680115273775216
4B,Mi4,0.8901437371663244,0.2665706051873199
4B,Mi4,0.893223819301848,0.26512968299711814
4B,Mi4,0.8963039014373717,0.26368876080691644
4B,Mi4,0.8993839835728953,0.26368876080691644
4B,Mi4,0.9024640657084189,0.260806916426513
4B,Mi4,0.9055441478439425,0.260806916426513
4B,Mi4,0.9086242299794661,0.2579250720461095
4B,Mi4,0.9117043121149897,0.2579250720461095
4B,Mi4,0.9147843942505134,0.25504322766570603
4B,Mi4,0.917864476386037,0.25504322766570603
4B,Mi4,0.9209445585215605,0.2521613832853026
4B,Mi4,0.9240246406570842,0.24927953890489912
4B,Mi4,0.9271047227926078,0.24927953890489912
4B,Mi4,0.9301848049281314,0.24639769452449567
4B,Mi4,0.9332648870636551,0.24639769452449567
4B,Mi4,0.9363449691991786,0.24351585014409222
4B,Mi4,0.9394250513347022,0.24351585014409222
4B,Mi4,0.9425051334702259,0.24063400576368876
4B,Mi4,0.9455852156057495,0.24063400576368876
4B,Mi4,0.9486652977412731,0.23919308357348704
4B,Mi4,0.9517453798767967,0.2377521613832853
4B,Mi4,0.9548254620123203,0.23631123919308358
4B,Mi4,0.9579055441478439,0.23631123919308358
4B,Mi4,0.9609856262833676,0.23631123919308358
4B,Mi4,0.9640657084188912,0.23487031700288186
4B,Mi4,0.9671457905544147,0.2334293948126801
4B,Mi4,0.9702258726899384,0.2334293948126801
4B,Mi4,0.973305954825462,0.2334293948126801
4B,Mi4,0.9763860369609856,0.2334293948126801
4B,Mi4,0.9794661190965093,0.23198847262247838
4B,Mi4,0.9825462012320328,0.23054755043227665
4B,Mi4,0.9856262833675564,0.23054755043227665
4B,Mi4,0.9887063655030801,0.22910662824207492
4B,Mi4,0.9917864476386037,0.2276657060518732
4B,Mi4,0.9948665297741273,0.22622478386167147
4B,Mi4,0.997946611909651,0.22622478386167147
4B,Mi4,1.0010266940451746,0.22334293948126802
4B,Mi4,1.004106776180698,0.22334293948126802
4B,Mi4,1.0071868583162218,0.22046109510086456
4B,Mi4,1.0102669404517455,0.22046109510086456
4B,Mi4,1.013347022587269,0.21757925072046108
4B,Mi4,1.0164271047227926,0.21757925072046108
4B,Mi4,1.0195071868583163,0.21469740634005763
4B,Mi4,1.0225872689938398,0.21469740634005763
4B,Mi4,1.0256673511293635,0.21181556195965417
4B,Mi4,1.0287474332648872,0.21181556195965417
4B,Mi4,1.0318275154004106,0.21037463976945245
4B,Mi4,1.0349075975359343,0.21037463976945245
4B,Mi4,1.037987679671458,0.20893371757925072
4B,Mi4,1.0410677618069815,0.207492795389049
4B,Mi4,1.0441478439425051,0.207492795389049
4B,Mi4,1.0472279260780288,0.207492795389049
4B,Mi4,1.0503080082135523,0.207492795389049
4B,Mi4,1.053388090349076,0.20461095100864554
4B,Mi4,1.0564681724845997,0.20461095100864554
4B,Mi4,1.0595482546201231,0.20461095100864554
4B,Mi4,1.0626283367556468,0.20461095100864554
4B,Mi4,1.0657084188911705,0.20461095100864554
4B,Mi4,1.068788501026694,0.20317002881844382
4B,Mi4,1.0718685831622177,0.2017291066282421
4B,Mi4,1.0749486652977414,0.2017291066282421
4B,Mi4,1.0780287474332648,0.2017291066282421
4B,Mi4,1.0811088295687885,0.20028818443804033
4B,Mi4,1.0841889117043122,0.1988472622478386
4B,Mi4,1.0872689938398357,0.19740634005763688
4B,Mi4,1.0903490759753593,0.19596541786743515
4B,Mi4,1.093429158110883,0.19596541786743515
4B,Mi4,1.0965092402464065,0.19452449567723343
4B,Mi4,1.0995893223819302,0.1930835734870317
4B,Mi4,1.1026694045174539,0.19164265129682997
4B,Mi4,1.1057494866529773,0.19020172910662825
4B,Mi4,1.108829568788501,0.19020172910662825
4B,Mi4,1.1119096509240247,0.18876080691642652
4B,Mi4,1.1149897330595482,0.1873198847262248
4B,Mi4,1.1180698151950719,0.1873198847262248
4B,Mi4,1.1211498973305956,0.1873198847262248
4B,Mi4,1.124229979466119,0.18587896253602307
4B,Mi4,1.1273100616016427,0.1844380403458213
4B,Mi4,1.1303901437371664,0.1844380403458213
4B,Mi4,1.1334702258726899,0.1844380403458213
4B,Mi4,1.1365503080082136,0.1844380403458213
4B,Mi4,1.1396303901437372,0.1844380403458213
4B,Mi4,1.1427104722792607,0.1844380403458213
4B,Mi4,1.1457905544147844,0.1844380403458213
4B,Mi4,1.148870636550308,0.1844380403458213
4B,Mi4,1.1519507186858315,0.1844380403458213
4B,Mi4,1.1550308008213552,0.1844380403458213
4B,Mi4,1.158110882956879,0.1844380403458213
4B,Mi4,1.1611909650924024,0.1844380403458213
4B,Mi4,1.164271047227926,0.1844380403458213
4B,Mi4,1.1673511293634498,0.1844380403458213
4B,Mi4,1.1704312114989732,0.18155619596541786
4B,Mi4,1.173511293634497,0.18155619596541786
4B,Mi4,1.1765913757700206,0.18155619596541786
4B,Mi4,1.179671457905544,0.18011527377521613
4B,Mi4,1.1827515400410678,0.1786743515850144
4B,Mi4,1.1858316221765914,0.1786743515850144
4B,Mi4,1.188911704312115,0.17723342939481268
4B,Mi4,1.1919917864476386,0.17579250720461095
4B,Mi4,1.1950718685831623,0.17579250720461095
4B,Mi4,1.1981519507186857,0.17435158501440923
4B,Mi4,1.2012320328542094,0.1729106628242075
4B,Mi4,1.2043121149897331,0.1729106628242075
