type,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
LC18,720575940623690471,34,18,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",604,2.889,7,-2,10.167,14,6,10.167,14.0,6.0,7.972,11.0,3.5
LC18,720575940633298380,25,11,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",607,-7.364,-5,-9,-2.0,1,-5,-2.0,1.0,-5.0,-8.364,-7.0,-10.5
LC18,720575940648819321,25,13,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",613,-6.385,-2,-12,15.615,18,12,15.615,18.0,12.0,1.423,5.0,-3.5
LC18,720575940606260402,24,9,"1, 1, 1, 1, 1, 1, 1, 1, 1",630,0.0,4,-2,-8.333,-6,-11,-8.333,-6.0,-11.0,-4.167,-0.5,-6.0
LC18,720575940614124906,34,21,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",635,9.476,13,7,-11.81,-8,-15,-11.81,-8.0,-15.0,3.571,6.5,0.5
LC18,720575940609920376,39,23,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",658,-8.913,-5,-12,-1.609,3,-5,-1.609,3.0,-5.0,-9.717,-6.0,-12.5
LC18,720575940624081852,29,18,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",672,-12.667,-9,-16,14.667,18,12,14.667,18.0,12.0,-5.333,-1.0,-10.0
LC18,720575940608186307,36,16,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",683,-0.688,4,-4,-4.25,-1,-7,-4.25,-1.0,-7.0,-2.812,0.5,-6.0
LC18,720575940626717201,44,18,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",700,-1.667,3,-5,-11.5,-9,-15,-11.5,-9.0,-15.0,-7.417,-4.5,-10.5
LC18,720575940619416485,22,7,"1, 1, 1, 1, 1, 1, 1",718,-17.0,-16,-18,9.143,11,7,9.143,11.0,7.0,-12.429,-10.5,-14.0
LC18,720575940629121798,29,13,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",719,-11.692,-9,-15,-3.385,0,-7,-3.385,0.0,-7.0,-13.385,-12.0,-15.0
LC18,720575940622413552,40,21,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",749,-1.857,1,-7,3.19,8,0,3.19,8.0,0.0,-0.262,2.5,-3.0
LC18,720575940619370155,37,21,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",753,-15.381,-12,-17,5.524,9,2,5.524,9.0,2.0,-12.619,-9.5,-15.0
LC18,720575940608193475,52,32,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",757,3.125,9,-1,0.344,5,-4,0.344,5.0,-4.0,3.297,8.0,1.0
LC18,720575940648920953,52,35,"2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",766,4.286,8,-1,-3.857,0,-7,-3.857,0.0,-7.0,2.357,5.5,-1.0
LC18,720575940627998723,5,0,,,,,,,,,,,,,,
LC18,720575940629082359,8,0,,,,,,,,,,,,,,
LC18,720575940633675616,7,0,,,,,,,,,,,,,,
