type,root_id,n_partners,n_partners_with_column,majority_column_id,votes
R1-6,720575940625399276,3,3,81,3
R1-6,720575940627208450,4,4,81,4
R1-6,720575940628089938,4,4,81,4
R1-6,720575940628182866,3,3,81,3
R1-6,720575940613517846,2,2,82,2
R1-6,720575940615026174,3,3,82,3
R1-6,720575940618014932,3,3,82,3
R1-6,720575940624177642,3,3,82,3
R1-6,720575940634150113,3,3,82,3
R1-6,720575940653020662,2,2,82,2
R1-6,720575940606686385,3,3,84,3
R1-6,720575940614945093,4,3,84,3
R1-6,720575940616031338,4,3,84,3
R1-6,720575940618758740,3,3,84,3
R1-6,720575940624191782,4,4,84,4
R1-6,720575940645610276,5,4,84,4
R1-6,720575940622652799,4,4,87,4
R1-6,720575940628817148,5,4,87,4
R1-6,720575940631069239,4,4,87,4
R1-6,720575940631629399,5,4,87,4
R1-6,720575940632208971,4,3,87,3
R1-6,720575940642471131,4,4,87,4
R1-6,720575940605966764,5,3,88,3
R1-6,720575940621520475,4,3,88,3
R1-6,720575940630743799,4,4,88,4
R1-6,720575940645012168,4,3,88,3
R1-6,720575940647231523,4,3,88,3
R1-6,720575940615203793,4,3,90,3
R1-6,720575940620830544,3,3,90,3
R1-6,720575940621358689,3,3,90,3
R1-6,720575940622610928,3,3,90,3
R1-6,720575940627191358,3,3,90,3
R1-6,720575940631014393,4,3,90,3
R1-6,720575940608148354,4,3,91,3
R1-6,720575940608148866,3,3,91,3
R1-6,720575940616981298,4,3,91,3
R1-6,720575940620953223,3,3,91,3
R1-6,720575940629521769,5,4,91,4
R1-6,720575940620517592,4,3,92,3
R1-6,720575940621426054,4,3,92,3
R1-6,720575940624936957,4,3,92,3
R1-6,720575940626142797,5,4,92,4
R1-6,720575940629315057,5,4,92,4
R1-6,720575940646219630,5,3,92,3
R1-6,720575940613998317,2,2,93,2
R1-6,720575940618909266,2,2,93,2
R1-6,720575940621600865,2,2,93,2
R1-6,720575940623500387,2,2,93,2
R1-6,720575940626585192,3,1,93,1
R1-6,720575940630167678,2,2,93,2
R1-6,720575940632567879,2,2,93,2
R1-6,720575940599744172,5,4,94,4
R1-6,720575940615047219,4,3,94,3
R1-6,720575940616429983,5,3,94,3
R1-6,720575940633062471,5,4,94,4
R1-6,720575940655807905,3,3,94,3
R1-6,720575940617113787,2,2,97,2
R1-6,720575940617187515,3,3,97,3
R1-6,720575940627700101,2,2,97,2
R1-6,720575940630702892,3,3,97,3
R1-6,720575940631071788,2,2,97,2
R1-6,720575940631072044,3,3,97,3
R1-6,720575940633199953,3,3,97,3
R1-6,720575940634239714,3,3,97,3
R1-6,720575940618965844,5,3,99,3
R1-6,720575940631777221,6,4,99,4
R1-6,720575940634522849,4,3,99,3
R1-6,720575940616539148,3,3,101,3
R1-6,720575940621249007,2,2,101,2
R1-6,720575940624202387,3,3,101,3
R1-6,720575940626742372,3,3,101,3
R1-6,720575940627678360,3,3,101,3
R1-6,720575940631329273,3,3,101,3
R1-6,720575940621027860,5,4,102,4
R1-6,720575940626829263,5,4,102,4
R1-6,720575940632642360,5,4,102,4
R1-6,720575940635981931,4,4,102,4
R1-6,720575940615268350,4,3,103,2
R1-6,720575940627746941,3,3,103,2
R1-6,720575940612319694,5,4,105,4
R1-6,720575940619213381,3,3,105,3
R1-6,720575940621932897,5,4,105,4
R1-6,720575940629079814,4,3,105,3
R1-6,720575940615525080,3,3,106,3
R1-6,720575940619046725,2,2,106,2
R1-6,720575940622684585,2,2,106,2
R1-6,720575940626663998,3,3,106,3
R1-6,720575940631702347,2,2,106,2
R1-6,720575940638620649,2,2,106,2
