type,root_id,n_partners,n_partners_with_column,majority_column_id,votes
R1-6,720575940608883804,4,2,50,2
R1-6,720575940612603029,3,2,50,2
R1-6,720575940617800153,3,2,50,2
R1-6,720575940624771271,2,2,50,2
R1-6,720575940629954203,3,2,50,2
R1-6,720575940618747421,5,4,51,4
R1-6,720575940620547019,4,3,51,3
R1-6,720575940621679526,6,5,51,5
R1-6,720575940623265757,5,5,51,5
R1-6,720575940623990825,4,3,51,3
R1-6,720575940630033255,4,3,51,3
R1-6,720575940610282947,3,3,52,3
R1-6,720575940621460870,5,5,52,5
R1-6,720575940622590964,4,4,52,4
R1-6,720575940625146376,4,3,52,3
R1-6,720575940625148168,4,4,52,4
R1-6,720575940628968010,4,3,52,3
R1-6,720575940615460364,6,4,53,4
R1-6,720575940623649379,5,3,53,3
R1-6,720575940626386224,5,3,53,3
R1-6,720575940628572420,4,3,53,3
R1-6,720575940629578256,4,3,53,3
R1-6,720575940629948519,4,3,53,3
R1-6,720575940615465110,4,3,54,3
R1-6,720575940627102851,4,3,54,3
R1-6,720575940627837010,3,3,54,3
R1-6,720575940631469765,5,3,54,3
R1-6,720575940636527727,3,3,54,3
R1-6,720575940640266915,4,3,54,3
R1-6,720575940613371414,4,3,55,3
R1-6,720575940619493499,4,3,55,3
R1-6,720575940623779071,5,4,55,4
R1-6,720575940625778983,4,3,55,3
R1-6,720575940631130583,6,4,55,4
R1-6,720575940655522977,5,3,55,3
R1-6,720575940629860507,4,3,56,3
R1-6,720575940615066152,5,4,57,4
R1-6,720575940617385814,4,3,57,3
R1-6,720575940617551499,6,4,57,4
R1-6,720575940621062565,5,4,57,4
R1-6,720575940625388692,5,3,57,3
R1-6,720575940619704699,4,3,58,3
R1-6,720575940621748902,5,3,58,3
R1-6,720575940623792664,6,4,58,4
R1-6,720575940627769240,3,3,58,3
R1-6,720575940633553709,4,3,58,3
R1-6,720575940608024754,4,3,59,3
R1-6,720575940616773682,3,3,59,3
R1-6,720575940618657108,4,3,59,3
R1-6,720575940621445766,5,4,59,4
R1-6,720575940624569066,4,3,59,3
R1-6,720575940626209613,3,3,59,3
R1-6,720575940618991685,6,3,60,3
R1-6,720575940631290063,6,3,60,3
R1-6,720575940620954477,6,3,61,3
R1-6,720575940622562654,5,3,61,3
R1-6,720575940624543495,6,3,61,3
R1-6,720575940629373995,3,3,61,3
R1-6,720575940630420727,4,3,61,3
R1-6,720575940636244075,4,3,61,3
R1-6,720575940618143581,4,3,62,2
R1-6,720575940641083264,4,3,62,2
