column_id,p,q,u,v
659,1,-7,7,-8
660,12,16,-16,4
661,10,4,-4,-6
662,-3,2,-2,5
663,4,4,-4,0
664,-15,-12,12,3
665,-8,6,-6,14
666,-14,1,-1,15
667,-15,-13,13,2
668,8,11,-11,3
669,-12,-4,4,8
670,-3,8,-8,11
671,-8,-15,15,-7
672,13,-2,2,-15
673,0,5,-5,5
674,-3,-11,11,-8
675,16,3,-3,-13
676,-8,-13,13,-5
677,5,6,-6,1
678,-7,0,0,7
679,5,13,-13,8
680,13,12,-12,-1
681,-9,-12,12,-3
682,-10,2,-2,12
683,1,5,-5,4
684,14,3,-3,-11
685,0,-9,9,-9
686,-16,-6,6,10
687,4,-7,7,-11
688,12,-2,2,-14
689,11,7,-7,-4
690,5,-8,8,-13
691,-17,-4,4,13
692,16,8,-8,-8
693,15,10,-10,-5
694,-3,6,-6,9
695,11,-1,1,-12
696,10,6,-6,-4
697,-12,-10,10,2
698,-10,3,-3,13
699,5,-5,5,-10
700,2,13,-13,11
701,-2,-2,2,0
702,16,7,-7,-9
703,3,-2,2,-5
704,11,-3,3,-14
705,-1,2,-2,3
706,-19,-8,8,11
707,14,11,-11,-3
708,-9,-16,16,-7
709,-10,-14,14,-4
710,-17,-8,8,9
711,10,9,-9,-1
712,13,-1,1,-14
713,14,2,-2,-12
714,1,11,-11,10
715,1,9,-9,8
716,-7,1,-1,8
717,-13,-9,9,4
718,17,7,-7,-10
719,12,15,-15,3
720,15,6,-6,-9
721,1,12,-12,11
722,-14,-1,1,13
723,-4,-7,7,-3
724,-3,5,-5,8
725,-9,-15,15,-6
726,-16,-12,12,4
727,-4,10,-10,14
728,-1,13,-13,14
729,17,12,-12,-5
730,-7,7,-7,14
731,10,-1,1,-11
732,6,0,0,-6
733,-4,-13,13,-9
734,-2,2,-2,4
735,-13,-10,10,3
736,8,-7,7,-15
737,9,10,-10,1
738,9,4,-4,-5
739,8,-6,6,-14
740,-6,-2,2,4
741,-5,-9,9,-4
742,9,2,-2,-7
743,-16,-3,3,13
744,16,9,-9,-7
745,6,7,-7,1
746,4,-1,1,-5
747,1,1,-1,0
748,14,6,-6,-8
749,2,-1,1,-3
750,-16,-8,8,8
751,2,4,-4,2
752,5,2,-2,-3
753,15,9,-9,-6
754,-6,-7,7,-1
755,5,14,-14,9
756,5,15,-15,10
757,-3,-3,3,0
758,-6,5,-5,11
759,0,14,-14,14
760,8,9,-9,1
761,-5,-13,13,-8
762,7,7,-7,0
763,12,2,-2,-10
764,-2,13,-13,15
765,7,2,-2,-5
766,-4,0,0,4
767,13,15,-15,2
768,-1,6,-6,7
769,-18,-9,9,9
770,-3,7,-7,10
771,-17,-10,10,7
772,5,7,-7,2
773,-15,-4,4,11
774,11,-5,5,-16
775,6,16,-16,10
776,5,16,-16,11
777,4,16,-16,12
778,-15,0,0,15
779,-5,11,-11,16
780,-12,-15,15,-3
781,-7,9,-9,16
782,-13,-15,15,-2
783,18,10,-10,-8
784,18,11,-11,-7
785,-7,10,-10,17
