,C2,C3,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,R1-6,R7,R8,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9
R1-6,100.000000,0.133814,16.884273,21.154924,0.259441,0.100000,,,,,5.890007,,,14.119974,,,,,,,,,,,,,,,,,,
R7,,0.100000,100.000000,,9.770979,,,1.742947,0.100000,3.251984,,,14.842610,,,,,,,,,,,,,,,1.540431,,,,
R8,0.630792,0.100000,100.000000,0.100000,7.546015,,0.100000,1.557009,0.100000,2.641279,,6.431284,0.100000,100.000000,,,,,,,,,,,,,,2.066485,23.286073,,,
T1,,,,18.147305,1.104713,,68.788737,,,8.625939,86.411357,99.392415,0.100000,,,,,,,,,,,,,0.100000,0.100000,0.100000,,,0.100000,
T2,,,,,,,0.100000,0.508602,,2.012950,,,,,0.100000,1.033054,6.722897,,,,,,,,,0.100000,0.859577,,0.104679,0.100000,100.000000,
T2a,4.862895,,,,,,,0.100000,,,,,,,0.100000,0.100000,26.179138,,,,,,,,,100.000000,,56.057451,1.029310,0.100000,0.100000,
T3,,87.359382,,,,,,,,,,,,,5.018240,0.991789,1.011103,,,,1.003565,,,,,0.100000,,,0.100143,0.927679,,
T4a,,0.100000,,,,,,,,6.710961,,,,,,,,32.591328,0.978654,1.035638,1.022924,0.994386,,,,,,,,,,
T4b,,,,,,,,0.100000,25.201283,1.016040,,,,,,,,1.961413,2.581966,,1.038670,,0.100000,,,,,,,,,
T4c,,,,,,,,,,1.323264,,,,,0.992224,,,,,3.918813,,,,0.987625,1.047079,,,,,,,
T4d,,,,,,,,0.100000,,,,,,,,,,,,1.048969,0.100000,,,,0.958295,,,,,,,
T5a,,,,,,,,,,,,,,,93.036605,,,0.100000,,,,0.100000,1.036115,,,,10.331760,,,,,
T5b,,,,,,,,,,,,,,,0.451492,,,,4.196247,,,1.044227,100.000000,,,,,,,,,
T5c,,,,,,,,,,,,,,,0.100000,,,,,10.148875,,,0.956423,7.029596,0.986903,,,,,,,
T5d,,,,,,,,,,,,,,,50.904759,,,,,0.100000,0.995904,,,,100.000000,,,,,,,
Tm1,5.050610,1.992944,,0.100000,,,0.100000,0.100000,0.100000,6.745539,,,,0.100000,0.100000,0.907804,0.100000,,,1.006141,,100.000000,0.100000,24.134795,0.100000,88.784987,100.000000,12.302614,0.405138,2.084235,0.100000,10.553229
Tm2,,1.559036,0.100000,19.973869,,,8.004834,0.100000,0.100000,0.521253,,,,0.100000,0.100000,0.100000,0.100000,0.965188,,0.100000,,0.100000,0.100000,100.000000,0.100000,1.382914,,,1.244313,1.328915,4.085311,0.100000
Tm20,,0.498426,,,,,,,0.100000,0.129010,,,,100.000000,0.100000,1.483442,,,,,,,,,,2.696723,2.420070,3.711014,1.004194,,,0.894264
Tm21,,,,,,,,0.204984,,,,,,,100.000000,0.977945,,,,,,,,,,0.324690,,,0.670872,,,
Tm3,0.100000,20.898497,25.313776,100.000000,,,,0.100000,0.100000,1.838300,,,,,0.100000,0.100000,13.511730,2.394307,11.358872,3.962047,0.100000,,1.030425,,0.958863,,,,,8.639423,7.133691,
Tm4,0.532495,0.100000,,100.000000,,,,0.100000,16.872840,,,,,38.782100,0.100000,0.100000,0.182379,,,,,0.100000,0.520603,100.000000,100.000000,0.100000,0.100000,,100.000000,0.100000,43.267810,
Tm9,,,,,0.100000,,,,0.100000,0.100000,,,,,18.564351,0.560278,,,,,,0.100000,1.533243,100.000000,0.100000,0.100000,97.387346,90.027393,0.259558,,1.928754,0.975335
