pre_idx,post_idx,pre_type,post_type,pre_root_id,post_root_id,syn_count,gS_mS_cm2,e_syn_mV,v_th_mV,k_minus,delta_mV,pre_baseline_mV,post_baseline_mV,s_inf_baseline,tau_s_baseline_ms,pair,is_r16_output
23722,18984,L3,Mi1,720575940625113068,720575940622617736,26.0,0.3000001,0.0,-45.0,0.14,3.0,-52.640457,-55.995888,0.07264047951849746,6.623996546666378,"('L3', 'Mi1')",False
15167,1626,L5,Tm3,720575940620704588,720575940607674034,11.0,0.49999997,0.0,-45.0,0.1,4.0,-42.53547,-37.14043,0.6493385014496043,3.5066149332513232,"('L5', 'Tm3')",False
45953,42994,Mi9,T4a,720575940645997620,720575940639190912,11.0,1.9999999,-70.0,-40.0,0.03,3.5,-56.015114,-68.0187,0.010193622997246512,32.99354663755502,"('Mi9', 'T4a')",False
32637,13844,L1,Tm3,720575940629995308,720575940619971755,49.0,0.3000001,-70.0,-45.0,0.1,4.0,-39.04808,-56.54011,0.8157748708179601,1.8422512643687161,"('L1', 'Tm3')",False
22871,40947,R1-6,L1,720575940624639751,720575940636552184,41.0,1.1999998,-72.0,-56.0,0.1,3.0,-77.96087,-2.869967,0.0006615325752303534,9.993384525334662,"('R1-6', 'L1')",True
27161,37558,Mi1,T4a,720575940627116318,720575940632946340,8.0,0.39999995,0.0,-48.0,0.18,3.8,-57.51921,-60.42399,0.07550453318394336,5.13608572266616,"('Mi1', 'T4a')",False
16255,29900,L5,L1,720575940621235846,720575940628410792,25.0,0.20000006,0.0,-45.0,0.1,4.0,-43.161148,-38.91227,0.6129460936615753,3.870539005708722,"('L5', 'L1')",False
6603,20180,L3,Mi1,720575940614277357,720575940623221774,10.0,0.3000001,0.0,-45.0,0.14,3.0,-51.02864,-58.91968,0.1182041886003057,6.298541483181936,"('L3', 'Mi1')",False
22398,41569,Tm3,T4a,720575940624365129,720575940637379550,8.0,0.3000001,0.0,-44.0,0.3,3.2,-39.547012,-60.423985,0.8008409557116835,0.6638634545814915,"('Tm3', 'T4a')",False
42143,40386,Mi1,T4a,720575940638102384,720575940635806772,6.0,0.39999995,0.0,-48.0,0.18,3.8,-58.381935,-60.423996,0.06110624057831626,5.216076233963329,"('Mi1', 'T4a')",False
45503,4896,R1-6,L1,720575940644736968,720575940612661683,36.0,1.1999998,-72.0,-56.0,0.1,3.0,-77.31431,-39.666786,0.0008205054241297904,9.991794796869357,"('R1-6', 'L1')",True
14450,3004,Mi1,T4a,720575940620343000,720575940610367556,10.0,0.39999995,0.0,-48.0,0.18,3.8,-56.950974,-56.019257,0.0866280662026735,5.074288319462156,"('Mi1', 'T4a')",False
14133,12489,Mi1,T4a,720575940620133243,720575940618910621,16.0,0.39999995,0.0,-48.0,0.18,3.8,-58.36656,-60.423862,0.06133876468177462,5.214784433439892,"('Mi1', 'T4a')",False
22179,14709,R1-6,L3,720575940624260134,720575940620492880,32.0,0.74999994,-72.0,-56.0,0.1,3.0,-77.906746,-42.67186,0.000673567554829731,9.993264175540462,"('R1-6', 'L3')",True
14551,22852,L1,Tm3,720575940620399740,720575940624627691,9.0,0.3000001,-70.0,-45.0,0.1,4.0,-17.441462,-51.253693,0.9989827499835576,0.010172500012841663,"('L1', 'Tm3')",False
27466,23182,R1-6,L3,720575940627241305,720575940624809480,16.0,0.74999994,-72.0,-56.0,0.1,3.0,-78.001076,-37.7972,0.0006527312684173282,9.99347253840148,"('R1-6', 'L3')",True
20334,42713,R1-6,L1,720575940623305693,720575940638806854,48.0,1.1999998,-72.0,-56.0,0.1,3.0,-77.729225,-39.065952,0.0007145985006690638,9.992853866088183,"('R1-6', 'L1')",True
25332,6990,Tm3,T4a,720575940626156365,720575940614620381,5.0,0.3000001,0.0,-44.0,0.3,3.2,-58.510235,-59.164474,0.010618858471094048,3.297937007381444,"('Tm3', 'T4a')",False
35659,12740,L1,Tm3,720575940631730402,720575940619119921,31.0,0.3000001,-70.0,-45.0,0.1,4.0,-15.728782,-58.510265,0.9993368224123346,0.0066317757778331515,"('L1', 'Tm3')",False
33900,20002,R1-6,L1,720575940630721536,720575940623142349,35.0,1.1999998,-72.0,-56.0,0.1,3.0,-78.001076,-38.936954,0.0006527312684173282,9.99347253840148,"('R1-6', 'L1')",True
1090,14731,Mi1,T4a,720575940606513342,720575940620511249,8.0,0.39999995,0.0,-48.0,0.18,3.8,-0.8896139,-0.78278923,0.9999958709970499,2.2938904366845327e-05,"('Mi1', 'T4a')",False
27806,20787,R1-6,L3,720575940627381379,720575940623550941,32.0,0.74999994,-72.0,-56.0,0.1,3.0,-0.6274883,-40.362274,0.9999999903615376,9.638462217947674e-08,"('R1-6', 'L3')",True
19144,45204,R1-6,L1,720575940622702341,720575940643811488,45.0,1.1999998,-72.0,-56.0,0.1,3.0,-24.00556,-39.048077,0.9999766481974667,0.00023351802185353395,"('R1-6', 'L1')",True
16073,34986,L5,Tm3,720575940621138342,720575940631306600,11.0,0.49999997,0.0,-45.0,0.1,4.0,-41.967567,-58.510242,0.680942849978029,3.1905714526764903,"('L5', 'Tm3')",False
41782,30213,L1,Mi1,720575940637639908,720575940628576335,135.0,0.49999997,-70.0,-45.0,0.08,4.0,-38.8459,-61.559956,0.8232501455095649,2.209373230513779,"('L1', 'Mi1')",False
22011,25883,L1,Tm3,720575940624183690,720575940626493898,18.0,0.3000001,-70.0,-45.0,0.1,4.0,-39.046947,-58.510284,0.8158174348862788,1.8418256236918717,"('L1', 'Tm3')",False
