raw_type,n_neurons,resolved_type,param_source,fallback_target,dominant_nt
LC22,46,LC22,nt:acetylcholine,,acetylcholine
Li03,46,Li03,nt:gaba,,gaba
MeTu3b,46,MeTu3b,nt:acetylcholine,,acetylcholine
Li17,45,Li17,nt:gaba,,gaba
Dm16,44,Dm16,nt:gaba,,gaba
MLt1,44,MLt1,nt:acetylcholine,,acetylcholine
MLt4,44,MLt4,nt:acetylcholine,,acetylcholine
LC10b,43,LC10b,nt:acetylcholine,,acetylcholine
Sm10,43,Sm10,nt:gaba,,gaba
cLP02,43,cLP02,nt:gaba,,gaba
LPi05,42,LPi05,nt:glutamate,,glutamate
Pm04,40,Pm04,nt:gaba,,gaba
Dm4,39,Dm4,nt:glutamate,,glutamate
MTe02,38,MTe02,nt:acetylcholine,,acetylcholine
Pm09,38,Pm09,nt:gaba,,gaba
Dm1,37,Dm1,nt:gaba,,gaba
Tm34,37,Tm34,nt:glutamate,,glutamate
LLPt,36,LLPt,nt:gaba,,gaba
MLt5,36,MLt5,nt:acetylcholine,,acetylcholine
MeTu2a,36,MeTu2a,nt:acetylcholine,,acetylcholine
LC24,35,LC24,nt:acetylcholine,,acetylcholine
LMa5,34,LMa5,nt:glutamate,,glutamate
Sm16,34,Sm16,nt:gaba,,gaba
LMa4,33,LMa4,nt:gaba,,gaba
Li11,32,Li11,nt:gaba,,gaba
Li13,32,Li13,nt:gaba,,gaba
Dm6,31,Dm6,nt:gaba,,gaba
LC26,31,LC26,nt:acetylcholine,,acetylcholine
MLt6,30,MLt6,nt:acetylcholine,,acetylcholine
LC25,29,LC25,nt:glutamate,,glutamate
MTe50,29,MTe50,nt:acetylcholine,,acetylcholine
Sm32,29,Sm32,nt:gaba,,gaba
Tlp14,29,Tlp14,nt:glutamate,,glutamate
LCe02,28,LCe02,nt:acetylcholine,,acetylcholine
LMa1,28,LMa1,nt:glutamate,,glutamate
MTe54,28,MTe54,nt:acetylcholine,,acetylcholine
Sm20,28,Sm20,nt:acetylcholine,,acetylcholine
aMe5,28,aMe5,nt:acetylcholine,,acetylcholine
LMt2,27,LMt2,nt:glutamate,,glutamate
LPi11,27,LPi11,nt:gaba,,gaba
MTe01b,27,MTe01b,nt:acetylcholine,,acetylcholine
Sm19,27,Sm19,nt:acetylcholine,,acetylcholine
Tlp5,27,Tlp5,nt:glutamate,,glutamate
cLP01,27,cLP01,nt:gaba,,gaba
LC20a,26,LC20a,nt:acetylcholine,,acetylcholine
Li09,26,Li09,nt:gaba,,gaba
Dm18,25,Dm18,nt:gaba,,gaba
LCe03,25,LCe03,nt:glutamate,,glutamate
Pm06,25,Pm06,nt:gaba,,gaba
Dm13,24,Dm13,nt:gaba,,gaba
MLt7,24,MLt7,nt:acetylcholine,,acetylcholine
MTe03,24,MTe03,nt:acetylcholine,,acetylcholine
MTe52,24,MTe52,nt:acetylcholine,,acetylcholine
Pm10,24,Pm10,nt:gaba,,gaba
DmDRA1,23,DmDRA1,nt:glutamate,,glutamate
LC20b,23,LC20b,nt:glutamate,,glutamate
LC29,23,LC29,nt:acetylcholine,,acetylcholine
LCe01b,23,LCe01b,nt:glutamate,,glutamate
LMt1,23,LMt1,nt:glutamate,,glutamate
Sm22,23,Sm22,nt:glutamate,,glutamate
LPi08,22,LPi08,nt:glutamate,,glutamate
Li08,22,Li08,nt:gaba,,gaba
Sm21,22,Sm21,nt:acetylcholine,,acetylcholine
Sm23,22,Sm23,nt:gaba,,gaba
LPi10,21,LPi10,nt:glutamate,,glutamate
Li12,21,Li12,nt:glutamate,,glutamate
LMa2,20,LMa2,nt:gaba,,gaba
LMt4,20,LMt4,nt:glutamate,,glutamate
LPTe01,20,LPTe01,nt:acetylcholine,,acetylcholine
MeTu3a,20,MeTu3a,nt:acetylcholine,,acetylcholine
Sm13,20,Sm13,nt:gaba,,gaba
cLP03,20,cLP03,nt:gaba,,gaba
LC27,19,LC27,nt:acetylcholine,,acetylcholine
Sm14,19,Sm14,nt:glutamate,,glutamate
LC40,18,LC40,nt:acetylcholine,,acetylcholine
LCe04,18,LCe04,nt:unknown,,unknown
LMa3,18,LMa3,nt:gaba,,gaba
LMt3,18,LMt3,nt:glutamate,,glutamate
MTe04,18,MTe04,nt:acetylcholine,,acetylcholine
MeTu4d,18,MeTu4d,nt:unknown,,unknown
uncertain,18,uncertain,nt:acetylcholine,,acetylcholine
LC31a,17,LC31a,nt:acetylcholine,,acetylcholine
LC36,17,LC36,nt:acetylcholine,,acetylcholine
LPi06,17,LPi06,nt:glutamate,,glutamate
Li16,17,Li16,nt:gaba,,gaba
Sm18,17,Sm18,nt:gaba,,gaba
LPi01,16,LPi01,nt:glutamate,,glutamate
LT52,16,LT52,nt:glutamate,,glutamate
Li04,16,Li04,nt:gaba,,gaba
Li15,16,Li15,nt:gaba,,gaba
Pm07,16,Pm07,nt:gaba,,gaba
Pm11,16,Pm11,nt:gaba,,gaba
LC33,15,LC33,nt:glutamate,,glutamate
Li18,15,Li18,nt:gaba,,gaba
Dm14,14,Dm14,nt:glutamate,,glutamate
MLt8,14,MLt8,nt:acetylcholine,,acetylcholine
MeTu2b,14,MeTu2b,nt:acetylcholine,,acetylcholine
Li14,13,Li14,nt:gaba,,gaba
DmDRA2,12,DmDRA2,nt:glutamate,,glutamate
LC45,12,LC45,nt:acetylcholine,,acetylcholine
LCe01a,12,LCe01a,nt:glutamate,,glutamate
MeTu4b,12,MeTu4b,nt:acetylcholine,,acetylcholine
Sm30,12,Sm30,nt:gaba,,gaba
Sm31,12,Sm31,nt:gaba,,gaba
Dm19,11,Dm19,nt:gaba,,gaba
LT51,11,LT51,nt:glutamate,,glutamate
LT57,11,LT57,nt:acetylcholine,,acetylcholine
Li21,11,Li21,nt:gaba,,gaba
MTe05,11,MTe05,nt:acetylcholine,,acetylcholine
Li07,10,Li07,nt:gaba,,gaba
Sm26,10,Sm26,nt:acetylcholine,,acetylcholine
LC37,9,LC37,nt:glutamate,,glutamate
Sm25,9,Sm25,nt:gaba,,gaba
LCe05,8,LCe05,nt:glutamate,,glutamate
LCe09,8,LCe09,nt:unknown,,unknown
LTe64,8,LTe64,nt:acetylcholine,,acetylcholine
Li22,8,Li22,nt:gaba,,gaba
MTe06,8,MTe06,nt:acetylcholine,,acetylcholine
cL01,8,cL01,nt:acetylcholine,,acetylcholine
LC19,7,LC19,nt:acetylcholine,,acetylcholine
LC34,7,LC34,nt:acetylcholine,,acetylcholine
LC46,7,LC46,nt:acetylcholine,,acetylcholine
LPi03,7,LPi03,nt:glutamate,,glutamate
LTe09,7,LTe09,nt:acetylcholine,,acetylcholine
MTe53,7,MTe53,nt:acetylcholine,,acetylcholine
Sm27,7,Sm27,nt:gaba,,gaba
APDN3,6,APDN3,nt:glutamate,,glutamate
LC41,6,LC41,nt:acetylcholine,,acetylcholine
LC43,6,LC43,nt:unknown,,unknown
LCe06,6,LCe06,nt:acetylcholine,,acetylcholine
LCe07,6,LCe07,nt:acetylcholine,,acetylcholine
LPTe02,6,LPTe02,nt:acetylcholine,,acetylcholine
LTe58,6,LTe58,nt:acetylcholine,,acetylcholine
Lat,6,Lat,nt:acetylcholine,,acetylcholine
LatB,6,LatB,nt:acetylcholine,,acetylcholine
Li24,6,Li24,nt:gaba,,gaba
MTe08,6,MTe08,nt:glutamate,,glutamate
PDt,6,PDt,nt:da,,da
Sm17,6,Sm17,nt:gaba,,gaba
Sm34,6,Sm34,nt:glutamate,,glutamate
Sm43,6,Sm43,nt:glutamate,,glutamate
LC31b,5,LC31b,nt:acetylcholine,,acetylcholine
LT81,5,LT81,nt:acetylcholine,,acetylcholine
