t,ms,cost_t,gt_aff_mean,gt_mean,sel_mean,SSE_t,POWER_t
21,105,74.2080643875,-13.8102316901,-16.9340536049,-5.4903996975e-08,48120.8110908410,64845.7974049173
22,110,73.9396968106,-13.6318072652,-16.7456143474,-5.3548082570e-08,46885.6358803248,63410.6412424447
23,115,73.6585629558,-13.4487686120,-16.5523018684,-5.2225654292e-08,45635.2057123596,61955.0584223756
24,120,73.3665148122,-13.2626884057,-16.3557771161,-5.0935884911e-08,44381.3216400676,60492.6126771389
25,125,73.0650152438,-13.0747899605,-16.1573320685,-4.9677967637e-08,43132.9096324866,59033.6010860129
26,130,72.7552213518,-12.8860232763,-15.9579700483,-4.8451115624e-08,41896.6628820855,57585.7816162973
27,135,72.4380489902,-12.6971245511,-15.7584685757,-4.7254561481e-08,40677.5454952006,56154.9435169076
28,140,72.1142230484,-12.5086627556,-15.5594285573,-4.6087556795e-08,39479.1859670153,54745.3529944020
29,145,71.7843168637,-12.3210760810,-15.3613127799,-4.4949371661e-08,38304.1836337213,53360.1005167321
30,150,71.4487832594,-12.1347004627,-15.1644760343,-4.3839294227e-08,37154.3467772227,52001.3708873670
31,155,71.1079790792,-11.9497919012,-14.9691886903,-4.2756630248e-08,36030.8772677176,50670.6529060549
32,160,70.7621846405,-11.7665439301,-14.7756551446,-4.1700702648e-08,34934.5135190760,49368.9019022935
33,165,70.4116191966,-11.5851012856,-14.5840282570,-4.0670851094e-08,33865.6410183306,48096.6655854751
34,170,70.0564532517,-11.4055706022,-14.3944206476,-3.9666431581e-08,32824.3776818248,46854.1813897944
35,175,69.6968183844,-11.2280287833,-14.2069135362,-3.8686816030e-08,31810.6396983753,45641.4516986225
36,180,69.3328150952,-11.0525295504,-14.0215636596,-3.7731391887e-08,30824.1922656151,44458.3019213855
37,185,68.9645190826,-10.8791085673,-13.8384086835,-3.6799561741e-08,29864.6886423669,43304.4252894401
38,190,68.5919862667,-10.7077874494,-13.6574714365,-3.5890742946e-08,28931.7001717519,42179.4173728510
39,195,68.2152568138,-10.5385769005,-13.4787632231,-3.5004367256e-08,28024.7393313605,41082.8026461124
40,200,67.8343583648,-10.3714791662,-13.3022864151,-3.4139880468e-08,27143.2774016994,40014.0549066818
41,205,67.4493086251,-10.2064899532,-13.1280364782,-3.3296742072e-08,26286.7579832248,38972.6129430559
42,210,67.0601174454,-10.0435999304,-12.9560035574,-3.2474424911e-08,25454.6073126102,37957.8925332784
43,215,66.6667884950,-9.8827959019,-12.7861737164,-3.1672414852e-08,24646.2421124099,36969.2956099725
44,220,66.2693206089,-9.7240617253,-12.6185299064,-3.0890210460e-08,23861.0755408558,36006.2172384033
45,225,65.8677088731,-9.5673790277,-12.4530527235,-3.0127322689e-08,23098.5216791146,35068.0509073278
46,230,65.4619455021,-9.4127277666,-12.2897210001,-2.9383274568e-08,22357.9988933742,34154.1925188566
47,235,65.0520205482,-9.2600866668,-12.1285122670,-2.8657600906e-08,21638.9323319405,33264.0433757466
48,240,64.6379224774,-9.1094335619,-11.9694031134,-2.7949848000e-08,20940.7557579557,32397.0123966556
49,245,64.2196386387,-8.9607456603,-11.8123694686,-2.7259573352e-08,20262.9128723711,31552.5177374144
50,250,63.7971556466,-8.8139997528,-11.6573868206,-2.6586345388e-08,19604.8582463512,30729.9879558163
51,255,63.3704596968,-8.6691723736,-11.5044303865,-2.5929743192e-08,18966.0579549268,29928.8628260868
52,260,62.9395368264,-8.5262399259,-11.3534752449,-2.5289356238e-08,18345.9899826228,29148.5938849826
53,265,62.5043731307,-8.3851787787,-11.2044964386,-2.4664784138e-08,17744.1444555225,28388.6447727675
54,270,62.0649549458,-8.2459653424,-11.0574690539,-2.4055636388e-08,17160.0237416913,27648.4914178595
55,275,61.6212690035,-8.1085761266,-10.9123682818,-2.3461532124e-08,16593.1424522142,26927.6221027870
56,280,61.1733025646,-7.9729877842,-10.7691694649,-2.2882099888e-08,16043.0273676554,26225.5374404703
57,285,60.7210435348,-7.8391771459,-10.6278481332,-2.2316977387e-08,15509.2173090056,25541.7502831886
58,290,60.2644805675,-7.7071212453,-10.4883800314,-2.1765811277e-08,14991.2629677571,24875.7855814524
59,295,59.8036031562,-7.5767973386,-10.3507411391,-2.1228256933e-08,14488.7267063402,24227.1802060311
60,300,59.3384017180,-7.4481829186,-10.2149076857,-2.0703978241e-08,14001.1823375282,23595.4827433224
61,305,58.8688676723,-7.3212557252,-10.0808561617,-2.0192647381e-08,13528.2148893959,22980.2532718838
62,310,58.3949935140,-7.1959937526,-9.9485633261,-1.9693944629e-08,13069.4203608586,22381.0631261208
63,315,57.9167728830,-7.0723752540,-9.8180062116,-1.9207558152e-08,12624.4054716222,21797.4946517160
64,320,57.4342006327,-6.9503787451,-9.6891621278,-1.8733183814e-08,12192.7874094479,21229.1409562992
65,325,56.9472728958,-6.8299830052,-9.5620086630,-1.8270524990e-08,11774.1935769313,20675.6056580161
66,330,56.4559871496,-6.7111670778,-9.4365236845,-1.7819292376e-08,11368.2613394444,20136.5026340100
67,335,55.9603422816,-6.5939102706,-9.3126853384,-1.7379203810e-08,10974.6377754729,19611.4557703304
68,340,55.4603386540,-6.4781921540,-9.1904720485,-1.6949984097e-08,10592.9794302578,19100.0987143999
69,345,54.9559781705,-6.3639925597,-9.0698625143,-1.6531364833e-08,10222.9520734038,18602.0746308747
70,350,54.4472643422,-6.2512915786,-8.9508357096,-1.6123084244e-08,9864.2304609274,18117.0359615071
71,355,53.9342023557,-6.1400695591,-8.8333708794,-1.5724887017e-08,9516.4981020720,17644.6441894433
72,360,53.4167991423,-6.0303071039,-8.7174475378,-1.5336524140e-08,9179.4470311081,17184.5696082579
73,365,52.8950634486,-5.9219850677,-8.6030454649,-1.4957752753e-08,8852.7775842513,16736.4910959201
74,370,52.3690059088,-5.8150845547,-8.4901447042,-1.4588335990e-08,8536.1981817667,16300.0958938146
75,375,51.8386391189,-5.7095869153,-8.3787255594,-1.4228042831e-08,8229.4251152804,15875.0793908724
76,380,51.3039777132,-5.6054737435,-8.2687685914,-1.3876647964e-08,7932.1823402819,15461.1449128308
77,385,50.7650384418,-5.5027268738,-8.1602546150,-1.3533931636e-08,7644.2012737744,15058.0035165990
78,390,50.2218402520,-5.4013283786,-8.0531646964,-1.3199679522e-08,7365.2205970095,14665.3737896875
79,395,49.6744043701,-5.3012605647,-7.9474801492,-1.2873682588e-08,7094.9860632270,14282.9816546355
80,400,49.1227543873,-5.2025059707,-7.8431825321,-1.2555736961e-08,6833.2503103130,13910.5601783594
81,405,48.5669163470,-5.1050473642,-7.7402536452,-1.2245643804e-08,6579.7726782782,13547.8493863343
82,410,48.0069188350,-5.0088677383,-7.6386755272,-1.1943209186e-08,6334.3190314557,13194.5960815148
83,415,47.4427930724,-4.9139503094,-7.5384304524,-1.1648243968e-08,6096.6615853150,12850.5536678941
84,420,46.8745730114,-4.8202785138,-7.4395009273,-1.1360563679e-08,5866.5787377841,12515.4819786013
