trace_id,step_ms,speed_dps,direction_deg,time_ms,vm_mv
step80_dir270,80,28,270,1536.5853658536585,0.819672131147541
step80_dir270,80,28,270,1548.780487804878,0.7377049180327869
step80_dir270,80,28,270,1560.9756097560976,0.6557377049180328
step80_dir270,80,28,270,1573.170731707317,0.6557377049180328
step80_dir270,80,28,270,1585.3658536585365,0.5737704918032788
step80_dir270,80,28,270,1597.560975609756,0.5737704918032788
step80_dir270,80,28,270,1609.7560975609756,0.5737704918032788
step80_dir270,80,28,270,1621.9512195121952,0.5327868852459017
step80_dir270,80,28,270,1634.1463414634145,0.49180327868852464
step80_dir270,80,28,270,1646.341463414634,0.4098360655737705
step80_dir270,80,28,270,1658.5365853658536,0.4098360655737705
step80_dir270,80,28,270,1670.7317073170732,0.36885245901639346
step80_dir270,80,28,270,1682.9268292682925,0.3278688524590164
step80_dir270,80,28,270,1695.121951219512,0.3278688524590164
step80_dir270,80,28,270,1707.3170731707316,0.3278688524590164
step80_dir270,80,28,270,1719.5121951219512,0.36885245901639346
step80_dir270,80,28,270,1731.7073170731708,0.36885245901639346
step80_dir270,80,28,270,1743.90243902439,0.36885245901639346
step80_dir270,80,28,270,1756.0975609756097,0.36885245901639346
step80_dir270,80,28,270,1768.2926829268292,0.2868852459016394
step80_dir270,80,28,270,1780.4878048780488,0.24590163934426235
step80_dir270,80,28,270,1792.6829268292681,0.24590163934426235
step80_dir270,80,28,270,1804.8780487804877,0.24590163934426235
step80_dir270,80,28,270,1817.0731707317073,0.3278688524590164
step80_dir270,80,28,270,1829.2682926829268,0.4508196721311476
step80_dir270,80,28,270,1841.4634146341464,0.49180327868852464
step80_dir270,80,28,270,1853.6585365853657,0.5327868852459017
step80_dir270,80,28,270,1865.8536585365853,0.5327868852459017
step40_dir315,40,56,315,0.0,0.0
step40_dir315,40,56,315,12.195121951219512,0.0
step40_dir315,40,56,315,24.390243902439025,0.0
step40_dir315,40,56,315,36.58536585365854,0.0
step40_dir315,40,56,315,48.78048780487805,-0.04098360655737705
step40_dir315,40,56,315,60.97560975609756,-0.12295081967213116
step40_dir315,40,56,315,73.17073170731707,-0.1639344262295082
step40_dir315,40,56,315,85.36585365853658,-0.1639344262295082
step40_dir315,40,56,315,97.5609756097561,-0.1639344262295082
step40_dir315,40,56,315,109.7560975609756,-0.1639344262295082
step40_dir315,40,56,315,121.95121951219512,-0.1639344262295082
step40_dir315,40,56,315,134.14634146341461,-0.1639344262295082
step40_dir315,40,56,315,146.34146341463415,-0.1639344262295082
step40_dir315,40,56,315,158.53658536585365,-0.1639344262295082
step40_dir315,40,56,315,170.73170731707316,-0.1639344262295082
step40_dir315,40,56,315,182.92682926829266,-0.1639344262295082
step40_dir315,40,56,315,195.1219512195122,-0.1639344262295082
step40_dir315,40,56,315,207.3170731707317,-0.1639344262295082
step40_dir315,40,56,315,219.5121951219512,-0.24590163934426232
step40_dir315,40,56,315,231.7073170731707,-0.2868852459016394
step40_dir315,40,56,315,243.90243902439025,-0.2868852459016394
step40_dir315,40,56,315,256.0975609756097,-0.2868852459016394
step40_dir315,40,56,315,268.29268292682923,-0.2868852459016394
step40_dir315,40,56,315,280.4878048780488,-0.24590163934426232
step40_dir315,40,56,315,292.6829268292683,-0.1639344262295082
step40_dir315,40,56,315,304.8780487804878,-0.12295081967213116
step40_dir315,40,56,315,317.0731707317073,-0.04098360655737705
step40_dir315,40,56,315,329.2682926829268,0.0
step40_dir315,40,56,315,341.4634146341463,0.0
step40_dir315,40,56,315,353.6585365853658,0.04098360655737705
step40_dir315,40,56,315,365.8536585365853,0.04098360655737705
step40_dir315,40,56,315,378.0487804878049,0.04098360655737705
step40_dir315,40,56,315,390.2439024390244,0.0
step40_dir315,40,56,315,402.4390243902439,-0.04098360655737705
step40_dir315,40,56,315,414.6341463414634,-0.04098360655737705
step40_dir315,40,56,315,426.8292682926829,-0.04098360655737705
step40_dir315,40,56,315,439.0243902439024,0.0
step40_dir315,40,56,315,451.2195121951219,0.12295081967213116
step40_dir315,40,56,315,463.4146341463414,0.20491803278688525
step40_dir315,40,56,315,475.60975609756093,0.2868852459016394
step40_dir315,40,56,315,487.8048780487805,0.3278688524590164
step40_dir315,40,56,315,500.0,0.3278688524590164
step40_dir315,40,56,315,512.1951219512194,0.3278688524590164
step40_dir315,40,56,315,524.390243902439,0.3278688524590164
step40_dir315,40,56,315,536.5853658536585,0.36885245901639346
step40_dir315,40,56,315,548.780487804878,0.45081967213114754
step40_dir315,40,56,315,560.9756097560976,0.6147540983606558
step40_dir315,40,56,315,573.170731707317,0.7377049180327869
step40_dir315,40,56,315,585.3658536585366,0.9426229508196722
step40_dir315,40,56,315,597.560975609756,1.1475409836065575
step40_dir315,40,56,315,609.7560975609756,1.557377049180328
step40_dir315,40,56,315,621.951219512195,1.7622950819672132
step40_dir315,40,56,315,634.1463414634146,2.295081967213115
step40_dir315,40,56,315,646.3414634146341,2.5819672131147544
step40_dir315,40,56,315,658.5365853658536,3.237704918032787
step40_dir315,40,56,315,670.7317073170732,3.6885245901639347
step40_dir315,40,56,315,682.9268292682926,4.221311475409836
step40_dir315,40,56,315,695.1219512195122,4.467213114754099
step40_dir315,40,56,315,707.3170731707316,5.040983606557377
step40_dir315,40,56,315,719.5121951219512,5.286885245901639
step40_dir315,40,56,315,731.7073170731707,5.491803278688525
step40_dir315,40,56,315,743.9024390243902,5.614754098360656
step40_dir315,40,56,315,756.0975609756098,5.7377049180327875
step40_dir315,40,56,315,768.2926829268292,5.7377049180327875
step40_dir315,40,56,315,780.4878048780488,5.7377049180327875
step40_dir315,40,56,315,792.6829268292682,5.7377049180327875
step40_dir315,40,56,315,804.8780487804878,5.491803278688525
step40_dir315,40,56,315,817.0731707317073,5.368852459016394
step40_dir315,40,56,315,829.2682926829268,5.081967213114754
step40_dir315,40,56,315,841.4634146341463,4.795081967213115
step40_dir315,40,56,315,853.6585365853658,4.426229508196721
step40_dir315,40,56,315,865.8536585365854,4.0983606557377055
step40_dir315,40,56,315,878.0487804878048,3.7704918032786887
step40_dir315,40,56,315,890.2439024390244,3.5245901639344264
step40_dir315,40,56,315,902.4390243902438,3.0737704918032787
step40_dir315,40,56,315,914.6341463414634,2.7459016393442623
step40_dir315,40,56,315,926.8292682926829,2.418032786885246
step40_dir315,40,56,315,939.0243902439024,2.0901639344262297
step40_dir315,40,56,315,951.2195121951219,1.8442622950819674
step40_dir315,40,56,315,963.4146341463414,1.598360655737705
step40_dir315,40,56,315,975.609756097561,1.3934426229508197
step40_dir315,40,56,315,987.8048780487804,1.2704918032786885
step40_dir315,40,56,315,1000.0,1.1475409836065575
step40_dir315,40,56,315,1012.1951219512194,1.0245901639344264
step40_dir315,40,56,315,1024.390243902439,0.8606557377049181
step40_dir315,40,56,315,1036.5853658536585,0.7377049180327869
step40_dir315,40,56,315,1048.780487804878,0.6557377049180328
step40_dir315,40,56,315,1060.9756097560976,0.49180327868852464
step40_dir315,40,56,315,1073.170731707317,0.45081967213114754
step40_dir315,40,56,315,1085.3658536585365,0.4098360655737705
step40_dir315,40,56,315,1097.560975609756,0.36885245901639346
step40_dir315,40,56,315,1109.7560975609756,0.2868852459016394
step40_dir315,40,56,315,1121.9512195121952,0.24590163934426232
step40_dir315,40,56,315,1134.1463414634145,0.24590163934426232
step40_dir315,40,56,315,1146.341463414634,0.1639344262295082
step40_dir315,40,56,315,1158.5365853658536,0.12295081967213116
step40_dir315,40,56,315,1170.7317073170732,0.0819672131147541
step40_dir315,40,56,315,1182.9268292682925,0.0819672131147541
step40_dir315,40,56,315,1195.121951219512,0.0819672131147541
step40_dir315,40,56,315,1207.3170731707316,0.0819672131147541
step40_dir315,40,56,315,1219.5121951219512,0.0819672131147541
step40_dir315,40,56,315,1231.7073170731708,0.0819672131147541
step40_dir315,40,56,315,1243.90243902439,0.04098360655737705
step40_dir315,40,56,315,1256.0975609756097,0.04098360655737705
step40_dir315,40,56,315,1268.2926829268292,0.04098360655737705
step40_dir315,40,56,315,1280.4878048780488,0.04098360655737705
step40_dir315,40,56,315,1292.6829268292681,0.04098360655737705
step40_dir315,40,56,315,1304.8780487804877,0.04098360655737705
step40_dir315,40,56,315,1317.0731707317073,0.0819672131147541
step40_dir315,40,56,315,1329.2682926829268,0.0819672131147541
step40_dir315,40,56,315,1341.4634146341464,0.12295081967213116
step40_dir315,40,56,315,1353.6585365853657,0.12295081967213116
step40_dir315,40,56,315,1365.8536585365853,0.12295081967213116
step40_dir315,40,56,315,1378.0487804878048,0.12295081967213116
step40_dir315,40,56,315,1390.2439024390244,0.0819672131147541
step40_dir315,40,56,315,1402.4390243902437,0.0819672131147541
step40_dir315,40,56,315,1414.6341463414633,0.0819672131147541
step40_dir315,40,56,315,1426.8292682926829,0.1639344262295082
step40_dir315,40,56,315,1439.0243902439024,0.24590163934426232
step40_dir315,40,56,315,1451.219512195122,0.2868852459016394
step40_dir315,40,56,315,1463.4146341463413,0.2868852459016394
step40_dir0,40,56,0,0.0,0.0
step40_dir0,40,56,0,12.195121951219512,0.04098360655737707
step40_dir0,40,56,0,24.390243902439025,0.0
step40_dir0,40,56,0,36.58536585365854,0.0
step40_dir0,40,56,0,48.78048780487805,0.0
step40_dir0,40,56,0,60.97560975609756,-0.04098360655737704
step40_dir0,40,56,0,73.17073170731707,-0.04098360655737704
step40_dir0,40,56,0,85.36585365853658,-0.04098360655737704
step40_dir0,40,56,0,97.5609756097561,-0.04098360655737704
step40_dir0,40,56,0,109.7560975609756,-0.04098360655737704
step40_dir0,40,56,0,121.95121951219512,-0.04098360655737704
step40_dir0,40,56,0,134.14634146341461,-0.04098360655737704
step40_dir0,40,56,0,146.34146341463415,0.0
step40_dir0,40,56,0,158.53658536585365,0.0
step40_dir0,40,56,0,170.73170731707316,0.0
step40_dir0,40,56,0,182.92682926829266,0.08196721311475413
step40_dir0,40,56,0,195.1219512195122,0.12295081967213117
step40_dir0,40,56,0,207.3170731707317,0.1639344262295082
step40_dir0,40,56,0,219.5121951219512,0.20491803278688528
step40_dir0,40,56,0,231.7073170731707,0.2868852459016394
step40_dir0,40,56,0,243.90243902439025,0.2868852459016394
step40_dir0,40,56,0,256.0975609756097,0.2868852459016394
step40_dir0,40,56,0,268.29268292682923,0.3278688524590164
step40_dir0,40,56,0,280.4878048780488,0.3688524590163935
step40_dir0,40,56,0,292.6829268292683,0.3688524590163935
step40_dir0,40,56,0,304.8780487804878,0.3688524590163935
step40_dir0,40,56,0,317.0731707317073,0.3688524590163935
step40_dir0,40,56,0,329.2682926829268,0.2868852459016394
step40_dir0,40,56,0,341.4634146341463,0.2868852459016394
step40_dir0,40,56,0,353.6585365853658,0.2868852459016394
step40_dir0,40,56,0,365.8536585365853,0.2868852459016394
step40_dir0,40,56,0,378.0487804878049,0.2868852459016394
step40_dir0,40,56,0,390.2439024390244,0.2868852459016394
step40_dir0,40,56,0,402.4390243902439,0.2868852459016394
step40_dir0,40,56,0,414.6341463414634,0.2868852459016394
step40_dir0,40,56,0,426.8292682926829,0.24590163934426235
step40_dir0,40,56,0,439.0243902439024,0.20491803278688528
step40_dir0,40,56,0,451.2195121951219,0.20491803278688528
step40_dir0,40,56,0,463.4146341463414,0.20491803278688528
step40_dir0,40,56,0,475.60975609756093,0.20491803278688528
step40_dir0,40,56,0,487.8048780487805,0.20491803278688528
step40_dir0,40,56,0,500.0,0.24590163934426235
step40_dir0,40,56,0,512.1951219512194,0.24590163934426235
step40_dir0,40,56,0,524.390243902439,0.2868852459016394
step40_dir0,40,56,0,536.5853658536585,0.3688524590163935
step40_dir0,40,56,0,548.780487804878,0.49180327868852464
step40_dir0,40,56,0,560.9756097560976,0.6967213114754098
step40_dir0,40,56,0,573.170731707317,0.8606557377049182
step40_dir0,40,56,0,585.3658536585366,0.9836065573770492
step40_dir0,40,56,0,597.560975609756,1.3524590163934427
step40_dir0,40,56,0,609.7560975609756,1.8442622950819674
step40_dir0,40,56,0,621.951219512195,2.1311475409836067
step40_dir0,40,56,0,634.1463414634146,2.5819672131147544
step40_dir0,40,56,0,646.3414634146341,3.319672131147541
step40_dir0,40,56,0,658.5365853658536,3.5245901639344264
step40_dir0,40,56,0,670.7317073170732,4.0983606557377055
step40_dir0,40,56,0,682.9268292682926,4.59016393442623
step40_dir0,40,56,0,695.1219512195122,5.040983606557377
step40_dir0,40,56,0,707.3170731707316,5.204918032786885
