idx,cell,a_in,a_out,v_th,e_leak,a_gt,bias_gt,a_h,h_v_mid,h_slope,tau_h_v,v_pre,v_onset
37,Mi15,1.889638,1.415555,-50.409274,-50.000000,1.003112,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-51.336742,21.650615
38,Mi2,1.889638,0.542167,-49.573781,-50.000000,1.015027,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-6.259047,-11.761067
39,Tm16,1.889638,0.615237,-49.594127,-50.000000,1.041928,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-64.364063,32.900171
40,Tm20,1.889638,1.703399,-50.515500,-50.000000,0.995062,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-16.749484,-18.624939
41,Tm21,1.889638,2.044241,-50.985632,-50.000000,0.964604,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-0.309518,2.805423
42,Tm27,1.889638,1.529015,-50.483593,-50.000000,1.032779,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-16.898697,-14.550907
43,Tm5a,1.889638,1.421256,-50.417550,-50.000000,1.033023,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-32.610237,6.291472
44,Tm5b,1.889638,0.550784,-49.565030,-50.000000,1.012252,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-44.320137,15.478943
45,Tm5c,1.889638,1.368994,-50.415667,-50.000000,0.973235,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-10.636475,-13.628595
46,Tm5f,1.889638,0.689026,-50.400594,-50.000000,1.036848,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-5.874145,-1.722527
47,TmY10,1.889638,0.827946,-49.653832,-50.000000,0.976721,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-34.392590,9.760095
48,TmY11,1.889638,0.638084,-50.436283,-50.000000,1.013635,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-24.310697,-12.830509
49,TmY14,1.889638,1.445902,-50.417669,-50.000000,0.971353,0.000000,0.500000,-51.081103,-0.200000,-49.776984,3.986849,4.647275
50,TmY15,1.889638,0.594841,-49.584201,-50.000000,1.029622,0.000000,0.500000,-51.081103,-0.200000,-49.776984,1.407403,4.415906
51,TmY3,1.889638,1.430876,-50.438925,-50.000000,1.043497,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-22.056104,-12.436112
52,TmY4,1.889638,0.453557,-49.168329,-50.000000,1.031416,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-38.519592,-2.236846
53,TmY5a,1.889638,0.502267,-49.498848,-50.000000,1.022628,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-11.751700,-6.326317
54,TmY9q,1.889638,0.555947,-49.586824,-50.000000,0.950264,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-17.557961,-4.935304
55,TmY9q__perp,1.889638,0.426182,-49.428477,-50.000000,1.003425,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-15.526409,-1.279905
