idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,a_h,v_mid_h_g,v_mid_h_tau,h_slope,v_pre,v_onset
12,T4a,0.982806,0.000000,1.440150,0.466646,-42.264522,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-45.050672,-44.571586
13,T4b,1.042823,0.000000,1.440150,0.100000,-39.827637,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-45.654598,-45.244773
14,T4c,0.986561,0.000000,1.440150,0.422026,-32.387831,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-39.181175,-38.700866
15,T4d,0.951524,0.000000,1.440150,0.100000,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-46.717596,-46.319977
16,Tm1,0.821564,0.000000,1.440150,0.100000,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-17.381063,-16.901681
17,Tm2,0.453897,0.000000,1.440150,0.871003,-32.713016,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-7.524600,-6.853840
18,Tm4,0.337758,0.000000,1.440150,0.771182,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-19.031918,-19.168087
19,Tm9,0.488928,0.000000,1.440150,0.100000,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-46.692408,-47.222967
20,T5a,1.018183,0.000000,1.440150,0.760939,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-7.948872,-7.635822
21,T5b,1.034309,0.000000,1.440150,0.100000,-47.474767,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-9.238933,-8.968152
22,T5c,1.011437,0.000000,1.440150,0.100000,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-8.514288,-8.224699
23,T5d,1.018231,0.000000,1.440150,0.100000,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-11.949483,-11.679887
24,T1,1.029452,0.000000,1.440150,0.100000,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-20.730647,-21.502639
25,T2,1.004300,0.000000,1.440150,1.217034,-46.345314,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-6.985493,-6.612706
26,T2a,1.038443,0.000000,1.440150,0.100000,-35.779949,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-31.256913,-31.043463
27,T3,0.994139,0.000000,1.440150,0.733474,-16.024719,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-8.092049,-7.928137
28,C2,1.006119,0.000000,1.440150,0.109422,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-27.589517,-27.017995
29,C3,1.004413,0.000000,1.440150,0.610719,-41.842212,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-37.729926,-37.295843
30,Lawf1,0.988561,0.000000,1.440150,1.693679,-41.706064,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-47.447011,-47.093881
31,Lawf2,1.013793,0.000000,1.440150,2.860269,-47.773280,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-22.337089,-22.158018
32,Dm3v,1.004419,0.000000,1.440150,3.846376,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-28.647741,-28.593538
33,Lai,1.035689,0.000000,1.440150,0.616709,-37.121933,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-50.711656,-50.505730
34,Mi10,0.984151,0.000000,1.440150,0.964909,-44.195255,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-66.459555,-66.328555
35,Mi13,1.012546,0.000000,1.440150,0.625249,-34.784140,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-30.588811,-30.627530
36,Mi14,0.952743,0.000000,1.440150,2.917697,-23.672290,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-1.772383,-1.637868
37,Mi15,1.009922,0.000000,1.440150,0.299432,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-52.515776,-52.180747
38,Mi2,1.041252,0.000000,1.440150,3.377599,-21.652853,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-9.943400,-9.876820
39,Tm16,1.015081,0.000000,1.440150,10.000000,-43.842365,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-58.661278,-58.921600
40,Tm20,0.993190,0.000000,1.440150,1.276119,-47.655484,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-26.669231,-27.236478
41,Tm21,1.036314,0.000000,1.440150,0.100000,-49.129423,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-30.736236,-30.066504
42,Tm27,0.952118,0.000000,1.440150,0.100000,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-39.258795,-38.976126
43,Tm5a,0.977006,0.000000,1.440150,5.595845,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-57.294212,-57.535908
44,Tm5b,0.951666,0.000000,1.440150,0.100000,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-58.626801,-58.585539
45,Tm5c,0.996687,0.000000,1.440150,0.431251,-48.156215,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-39.849674,-40.051397
46,Tm5f,1.039398,0.000000,1.440150,0.100000,-47.061749,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-15.359162,-15.849259
47,TmY10,0.956998,0.000000,1.440150,0.100000,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-52.512109,-52.829566
48,TmY11,0.989001,0.000000,1.440150,10.000000,-31.990081,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-66.407611,-66.405608
49,TmY14,1.004002,0.000000,1.440150,0.100000,-48.979316,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-11.570021,-11.421262
50,TmY15,0.968041,0.000000,1.440150,0.543883,-40.052610,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,0.154723,0.319808
51,TmY3,0.994115,0.000000,1.440150,0.100000,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-22.753867,-21.368886
52,TmY4,0.976380,0.000000,1.440150,0.100000,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-58.201630,-58.161076
53,TmY5a,0.994920,0.000000,1.440150,0.443670,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-9.707425,-9.501644
54,TmY9q,1.033790,0.000000,1.440150,0.100000,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-35.061714,-35.029009
55,TmY9q__perp,1.032568,0.000000,1.440150,0.641016,-49.999960,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-29.612548,-29.472146
