idx,ctype,inp_gain,out_gain,tau_m,bias,adapt_gain,tau_adapt,out_scale,gate_pivot
24,Mi9,4.859317,2.489282,50.005875,2.000000,0.000000,10.000000,5.313344,0.500000
25,Mi10,0.419226,0.464723,46.787678,-0.014136,0.000000,10.000000,1.000000,0.500000
26,Mi11,0.438029,0.595313,50.204444,-0.034659,0.000000,10.000000,1.000000,0.500000
27,Mi12,0.461335,0.271927,49.494394,-0.493910,0.000000,10.000000,1.000000,0.500000
28,Mi13,0.100000,0.100000,53.567807,-0.656889,0.000000,10.000000,1.000000,0.500000
29,Mi14,0.100000,0.100000,49.765764,-0.645444,0.000000,10.000000,1.000000,0.500000
30,Mi15,4.572940,4.622798,46.107171,-1.898018,0.000000,10.000000,1.000000,0.500000
31,T1,1.496019,1.913641,46.230197,1.999379,0.000000,10.000000,1.000000,0.500000
32,T2,0.834378,1.163378,35.412656,1.830233,0.000000,10.000000,1.000000,0.500000
33,T2a,0.100000,0.100000,53.540359,-0.563921,0.000000,10.000000,1.000000,0.500000
34,T3,0.739513,3.671202,43.965032,1.915390,0.000000,10.000000,1.000000,0.500000
35,T4a,0.100000,0.487060,42.478966,2.000000,0.000000,10.000000,1.000000,0.500000
36,T4b,0.100000,0.100000,54.626939,-0.550182,0.000000,10.000000,1.000000,0.500000
37,T4c,0.100000,0.100000,52.675204,-0.806925,0.000000,10.000000,1.000000,0.500000
38,T4d,0.100000,0.100000,46.580624,-0.740663,0.000000,10.000000,1.000000,0.500000
39,T5a,0.100000,0.100000,52.969093,-0.416894,0.000000,10.000000,1.000000,0.500000
40,T5b,6.376276,5.983830,51.601479,1.891938,0.000000,10.000000,1.000000,0.500000
41,T5c,9.215195,8.497828,40.301467,1.945896,0.000000,10.000000,1.000000,0.500000
42,T5d,0.100000,0.100000,56.063931,-0.255124,0.000000,10.000000,1.000000,0.500000
43,Tm1,3.204142,3.098790,29.869245,2.000000,0.000000,10.000000,5.321433,0.500000
44,Tm2,2.873445,4.054687,39.177934,1.998001,0.000000,10.000000,1.561992,0.500000
45,Tm3,3.637680,4.089772,37.840682,1.931529,0.000000,10.000000,1.427575,0.500000
46,Tm4,5.016669,0.100000,30.458688,0.377405,0.000000,10.000000,5.648223,0.500000
47,Tm5Y,9.840176,5.467672,47.381510,1.613618,0.000000,10.000000,1.000000,0.500000
48,Tm5a,0.470214,0.570941,46.418978,0.048142,0.000000,10.000000,1.000000,0.500000
49,Tm5b,0.526616,0.570792,49.805702,-0.042866,0.000000,10.000000,1.000000,0.500000
50,Tm5c,2.107362,2.441538,39.367665,1.709499,0.000000,10.000000,1.000000,0.500000
51,Tm9,6.216210,4.674503,48.386693,2.000000,0.000000,10.000000,6.658877,0.500000
52,Tm16,0.886380,1.016525,47.186228,-0.414313,0.000000,10.000000,1.000000,0.500000
53,Tm20,4.185600,3.991015,61.105448,1.361758,0.000000,10.000000,1.000000,0.500000
54,Tm28,0.100000,0.100000,47.683512,-0.604861,0.000000,10.000000,1.000000,0.500000
55,Tm30,0.422765,0.475885,45.087634,0.006476,0.000000,10.000000,1.000000,0.500000
56,TmY3,10.117877,10.481979,57.383951,-2.000000,0.000000,10.000000,1.000000,0.500000
57,TmY4,1.290877,3.348720,64.197044,-2.000000,0.000000,10.000000,1.000000,0.500000
58,TmY5a,0.100000,0.100000,54.541238,-0.359165,0.000000,10.000000,1.000000,0.500000
59,TmY9,0.100000,0.274493,45.423818,-0.604384,0.000000,10.000000,1.000000,0.500000
60,TmY10,0.212604,0.253583,52.210554,-0.387957,0.000000,10.000000,1.000000,0.500000
61,TmY13,0.276924,0.303085,47.248304,-0.154556,0.000000,10.000000,1.000000,0.500000
62,TmY14,9.510530,10.967040,43.587528,-2.000000,0.000000,10.000000,1.000000,0.500000
63,TmY15,0.100000,1.217146,47.276274,-2.000000,0.000000,10.000000,1.000000,0.500000
64,TmY18,0.100000,0.100000,47.940816,-0.613075,0.000000,10.000000,1.000000,0.500000
