type,neuron_count,kept
LT86,1,False
LTe70,1,False
LPT58,1,False
DNc02,1,False
LTe60,1,False
MTe41,1,False
Li33,1,False
LPT42_Nod4,1,False
LT65,1,False
LT61b,1,False
VS5,1,False
VS1,1,False
cL20,1,False
LTe13,1,False
OLVC7,1,False
MTe24,1,False
LTe15,1,False
cL06,1,False
LT42,1,False
LT1b,1,False
VS7,1,False
PLP217,1,False
LT40,1,False
LT79,1,False
Sm41,1,False
VS3,1,False
LT62,1,False
cLP05,1,False
LTe24,1,False
MTe33,1,False
cML02,1,False
l-CPDN3,1,False
Nod3,1,False
LPT26,1,False
Sm42,1,False
CB3866,1,False
cM18,1,False
LTe61,1,False
LTe51,1,False
aMe17a2,1,False
LTe44,1,False
mALC3,1,False
SIP017,1,False
LTe75,1,False
MTe29,1,False
AVLP151,1,False
VS4,1,False
mALC5,1,False
cM13,1,False
LPT22,1,False
cM01a,1,False
LTe05,1,False
LTe40,1,False
aMe15,1,False
