cell,intensity_from,intensity_to,branch,time_s,vm_mv
Mi1,0.1,0.5,positive,2.75,5.945945945945946
Mi1,0.1,0.5,negative,2.75,-6.216216216216216
Mi1,0.1,0.5,positive,2.775,6.486486486486486
Mi1,0.1,0.5,negative,2.775,-6.216216216216216
Mi1,0.1,0.5,positive,2.8,6.486486486486486
Mi1,0.1,0.5,negative,2.8,-6.216216216216216
Mi1,0.1,0.5,positive,2.825,6.216216216216216
Mi1,0.1,0.5,negative,2.825,-6.216216216216216
Mi1,0.1,0.5,positive,2.85,5.405405405405405
Mi1,0.1,0.5,negative,2.85,-6.216216216216216
Mi1,0.1,0.5,positive,2.875,5.675675675675675
Mi1,0.1,0.5,negative,2.875,-6.216216216216216
Mi1,0.1,0.5,positive,2.9,6.756756756756756
Mi1,0.1,0.5,negative,2.9,-5.675675675675675
Mi1,0.1,0.5,positive,2.925,7.297297297297297
Mi1,0.1,0.5,negative,2.925,-5.675675675675675
Mi1,0.1,0.5,positive,2.95,8.108108108108107
Mi1,0.1,0.5,negative,2.95,-5.675675675675675
Mi1,0.1,0.5,positive,2.975,8.108108108108107
Mi1,0.1,0.5,negative,2.975,-5.945945945945946
Mi1,0.1,0.5,positive,3.0,8.108108108108107
Mi1,0.1,0.5,negative,3.0,-5.945945945945946
Mi1,0.1,0.5,positive,3.025,6.756756756756756
Mi1,0.1,0.5,negative,3.025,-5.945945945945946
Mi1,0.1,0.5,positive,3.05,5.675675675675675
Mi1,0.1,0.5,negative,3.05,-5.945945945945946
Mi1,0.1,0.5,positive,3.075,5.675675675675675
Mi1,0.1,0.5,negative,3.075,-5.675675675675675
Mi1,0.1,0.5,positive,3.1,6.216216216216216
Mi1,0.1,0.5,negative,3.1,-5.675675675675675
Mi1,0.1,0.5,positive,3.125,6.216216216216216
Mi1,0.1,0.5,negative,3.125,-5.675675675675675
Mi1,0.1,0.5,positive,3.15,7.297297297297297
Mi1,0.1,0.5,negative,3.15,-5.945945945945946
Mi1,0.1,0.5,positive,3.175,8.91891891891892
Mi1,0.1,0.5,negative,3.175,-5.945945945945946
Mi1,0.1,0.5,positive,3.2,8.648648648648647
Mi1,0.1,0.5,negative,3.2,-5.945945945945946
Mi1,0.1,0.5,positive,3.225,7.837837837837838
Mi1,0.1,0.5,negative,3.225,-6.216216216216216
Mi1,0.1,0.5,positive,3.25,7.297297297297297
Mi1,0.1,0.5,negative,3.25,-6.216216216216216
Mi1,0.1,0.5,positive,3.275,6.486486486486486
