,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
T3,,,,,,,,,,,,,0.986093,1.028333,1.045603,,,,1.022086,,,,,1.045025,,,0.974197,0.991299,,,,1.034899
T4a,,,,,,,,,,,1.005142,,,,,1.000497,1.029166,1.028472,0.993986,1.032889,,,,,,,,,,,,1.016554
T4b,,,,,,,,,0.964468,0.999916,1.022300,,,,,0.990770,1.047379,,0.973636,,0.997955,,,,,,,,,,,
T4c,,,,,,,,,,,1.039687,,1.042499,,,,,1.043650,,,,1.045260,1.030005,,,,,,,,,
T4d,,,,,,,,,0.968058,,,,,,,,,0.999435,1.013535,,,,0.978197,,,,,,,,,
T5a,,,,,,,,,,,,,1.018589,,,1.037714,,,,0.980279,0.977645,,,,0.963726,,,,,,,
T5b,,,,,,,,,,,,,0.969510,,,,1.022145,,,0.990432,1.003104,,,,,,,,,,,
T5c,,,,,,,,,,,,,1.007596,,,,,1.031132,,,0.982897,1.045399,0.989167,,,,,,,,,
T5d,,,,,,,,,,,,,0.986736,,,,,1.035059,1.024402,,,,0.951775,,,,,,,,,
Tm1,,,,,1.044357,,,0.976879,1.010630,1.026518,0.992315,0.984073,0.962753,1.045341,0.960559,,,0.954162,,0.990098,0.985138,1.032155,1.002584,0.993260,1.020030,0.970857,1.028407,1.015552,0.980870,0.976624,1.026399,0.985942
Tm2,,,,1.092429,1.596514,,,0.395788,0.998476,1.030605,1.044951,1.001848,0.969293,0.985268,0.984055,1.012919,,1.009715,,1.013363,0.966413,0.993661,0.959474,0.963419,,,0.957054,1.018064,0.962324,1.010616,,1.038198
Tm20,,,,,,,,,,1.017166,0.956944,0.982297,0.993704,0.973124,,,,,,,,,,1.014830,0.987905,0.975885,0.986272,,,0.956364,,0.959269
Tm21,,,,,,,,,1.011139,,,,0.953684,1.031725,,,,,,,,,,1.016385,,,1.010608,,,,,
Tm3,,,,0.997672,1.017108,,,,1.034557,1.041665,1.039261,,0.970147,0.978594,0.955353,1.037116,1.034159,0.957790,1.014582,,1.012954,,1.037436,,,,,0.999209,1.049797,,0.999018,1.027466
Tm4,,,,,1.037934,,,,1.037505,0.994074,,0.980449,1.041745,0.963841,0.956411,,,,,1.039798,0.999577,1.033842,0.988518,1.018498,1.041101,,0.987292,1.029831,0.966479,,1.034280,1.046825
Tm9,,,,,,0.987498,,,,0.964810,1.010252,,1.027566,1.009578,,,,,,0.988631,1.040350,0.953237,1.047774,0.990183,0.972104,1.012840,1.007035,,0.980511,0.963741,,
C2,1.039402,1.014680,0.986916,0.378983,0.376928,0.971967,0.422491,1.594574,1.039672,0.993965,,0.951815,0.965960,0.984946,1.034279,,,,,,,,,1.031765,,,,,,0.955160,0.984464,1.042478
C3,1.031641,,,0.951900,1.039280,1.018243,0.976913,0.965190,1.032631,0.993822,1.018648,0.975615,0.981646,1.021664,1.018325,1.017867,1.014753,0.971001,0.968772,,,,,0.957682,0.982565,0.969955,0.978811,1.002574,0.964235,1.005467,0.988422,
