,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
T4c,,,,,,,,,,,4.481065,,0.965528,,,,,5.000000,,,,1.005967,0.968333,,,,,,,,,
T4d,,,,,,,,,5.000000,,,,,,,,,1.043039,5.000000,,,,0.976688,,,,,,,,,
T5a,,,,,,,,,,,,,0.878203,,,1.020679,,,,1.043444,1.048029,,,,0.902255,,,,,,,
T5b,,,,,,,,,,,,,4.511902,,,,0.500000,,,0.951163,0.500000,,,,,,,,,,,
T5c,,,,,,,,,,,,,0.505463,,,,,0.500000,,,0.970279,3.229124,1.025364,,,,,,,,,
T5d,,,,,,,,,,,,,0.631029,,,,,1.065123,0.969132,,,,1.030605,,,,,,,,,
Tm1,,,,,0.500000,,,0.500000,0.500000,0.500000,5.000000,0.500000,5.000000,0.500000,0.500000,,,1.003253,,0.500000,5.000000,0.501462,0.500000,0.500000,0.500000,0.500000,0.510845,0.500000,0.500000,5.000000,1.016442,0.500000
Tm2,,,,2.429001,0.500000,,,5.000000,5.000000,2.232494,0.500000,0.500000,5.000000,5.000000,0.500000,0.979467,,0.500000,,0.656223,0.500000,0.693107,0.886035,0.500000,,,0.500000,0.500000,0.500000,0.500000,,1.228133
Tm20,,,,,,,,,,0.961995,0.500000,1.037521,0.975780,1.034443,,,,,,,,,,0.560183,0.500000,1.021041,0.952617,,,0.500000,,1.048694
Tm21,,,,,,,,,5.000000,,,,5.000000,0.969476,,,,,,,,,,0.500000,,,5.000000,,,,,
Tm3,,,,0.500000,0.500000,,,,0.500000,4.945572,5.000000,,0.500000,0.500000,0.500000,0.500000,5.000000,5.000000,3.352557,,1.003660,,0.954629,,,,,5.000000,0.500000,,0.990207,4.953307
Tm4,,,,,5.000000,,,,0.500000,2.202051,,5.000000,0.500000,0.500000,0.500000,,,,,0.633928,0.500000,0.508619,0.500000,5.000000,1.865181,,0.500000,0.500000,5.000000,,0.970964,0.500000
Tm9,,,,,,5.000000,,,,5.000000,0.500000,,0.500000,0.978473,,,,,,1.041363,0.500000,0.547300,0.991691,0.500000,0.500000,0.954937,1.045896,,3.048894,0.999462,,
C2,0.500000,0.994815,5.000000,4.898558,1.013206,5.000000,0.500000,5.000000,4.785395,5.000000,,4.766804,1.275598,1.011487,0.992179,,,,,,,,,0.500000,,,,,,0.807212,0.996769,0.500000
C3,0.500000,,,5.000000,0.500000,5.000000,5.000000,0.500000,4.503200,0.500000,5.000000,5.000000,0.500000,0.999401,0.500000,0.500000,0.500000,5.000000,0.963231,,,,,4.146443,0.500000,1.909934,0.500000,3.315287,5.000000,5.000000,5.000000,
