idx,cell,a_in,a_out,v_th,a_gt,bias_gt,h_g_max,h_g_max_off,h_v_mid,h_slope,tau_v_mid,h_v_mid_off,h_slope_off,tau_v_mid_off,v_pre,v_onset
44,Tm5b,3.400423,0.100000,-50.000000,0.951275,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-63.791528,-63.432337
45,Tm5c,3.400423,1.270664,-50.000000,0.985591,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-7.257095,-0.980292
46,Tm5f,3.400423,2.426320,-50.000000,0.958827,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-36.937549,-35.009301
47,TmY10,3.400423,2.114088,-50.000000,0.987621,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-42.276718,-39.172990
48,TmY11,3.400423,0.476226,-50.000000,0.965615,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-68.235049,-67.896953
49,TmY14,3.400423,0.906027,-50.000000,0.987082,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-62.149737,-60.766642
50,TmY15,3.400423,1.920775,-50.000000,1.048988,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-19.232148,-20.010582
51,TmY3,3.400423,1.158953,-50.000000,0.951719,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-34.900061,-30.108582
52,TmY4,3.400423,3.900329,-50.000000,1.043498,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-53.404011,-46.863091
53,TmY5a,3.400423,2.824339,-50.000000,1.036331,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-23.828405,-19.795501
54,TmY9q,3.400423,0.143363,-50.000000,1.000051,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-12.712685,-10.317833
55,TmY9q__perp,3.400423,1.616256,-50.000000,1.004607,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-25.939738,-21.694502
