trace_id,source_trace_id,cell_type,contrast,source_position,position,rf_side,color,source_width_led,source_width_deg,target_width_led,target_width_deg,depolarization_ratio,hyperpolarization_ratio,scale_factor,scale_source,time_ms,source_vm_mv,vm_mv
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-165.000000000,-0.281395000,-0.146814790
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-160.000000000,-0.300926000,-0.157004877
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-155.000000000,-0.300926000,-0.157004877
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-150.000000000,-0.269097000,-0.140398442
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-145.000000000,-0.230035000,-0.120018267
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-140.000000000,-0.034722000,-0.018115827
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-135.000000000,0.264757000,0.138134094
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-130.000000000,0.300926000,0.157004877
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-125.000000000,0.300926000,0.157004877
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-120.000000000,0.300926000,0.157004877
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-115.000000000,0.300926000,0.157004877
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-110.000000000,0.300926000,0.157004877
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-105.000000000,0.300926000,0.157004877
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-100.000000000,0.289352000,0.150966268
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-95.000000000,0.211227000,0.110205397
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-90.000000000,0.208333000,0.108695484
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-85.000000000,0.208333000,0.108695484
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-80.000000000,0.208333000,0.108695484
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-75.000000000,0.192419000,0.100392527
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-70.000000000,0.153356000,0.080011830
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-65.000000000,0.115741000,0.060386612
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-60.000000000,0.115741000,0.060386612
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-55.000000000,0.149016000,0.077747482
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-50.000000000,0.188079000,0.098128179
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-45.000000000,0.208333000,0.108695484
T4_PC_pos-2_w1,T4_PC_pos-4,T4,PC,-2.000000000,-2.000000000,leading,green,4,9.000000000,1,2.250000000,0.521739157,,0.521739157,depolarization,-40.000000000,0.196759000,0.102656875
