trace_id,cell_type,cell_num,contrast,bar_val,width_led,duration_ms,position_led,extremum,response_mv,statistic,response_sd_mv,n_cells,response_sem_mv
B_T4_NC_w4_hyperpolarization_cell,T4,6.000000,NC,0,4,160.000000,-1.000000,hyperpolarization,-3.827276,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,9.000000,NC,0,4,160.000000,-1.000000,hyperpolarization,-2.628801,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,10.000000,NC,0,4,160.000000,-1.000000,hyperpolarization,-3.219918,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,12.000000,NC,0,4,160.000000,-1.000000,hyperpolarization,-8.433381,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,13.000000,NC,0,4,160.000000,-1.000000,hyperpolarization,-4.192550,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,16.000000,NC,0,4,160.000000,-1.000000,hyperpolarization,-6.806319,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,1.000000,NC,0,4,160.000000,0.000000,hyperpolarization,-7.247227,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,3.000000,NC,0,4,160.000000,0.000000,hyperpolarization,-7.044342,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,7.000000,NC,0,4,160.000000,0.000000,hyperpolarization,-2.444190,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,10.000000,NC,0,4,160.000000,0.000000,hyperpolarization,-3.040765,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,13.000000,NC,0,4,160.000000,0.000000,hyperpolarization,-4.820063,cell,,,
B_T4_NC_w4_hyperpolarization_cell,T4,11.000000,NC,0,4,160.000000,4.000000,hyperpolarization,-2.557908,cell,,,
B_T4_NC_w4_hyperpolarization_mean,T4,,NC,0,4,160.000000,-3.000000,hyperpolarization,-4.119923,mean,1.392964,9.000000,0.464321
B_T4_NC_w4_hyperpolarization_mean,T4,,NC,0,4,160.000000,-2.000000,hyperpolarization,-4.584447,mean,2.001123,13.000000,0.555012
B_T4_NC_w4_hyperpolarization_mean,T4,,NC,0,4,160.000000,-1.000000,hyperpolarization,-5.476359,mean,2.244031,8.000000,0.793385
B_T4_NC_w4_hyperpolarization_mean,T4,,NC,0,4,160.000000,0.000000,hyperpolarization,-4.919317,mean,2.213592,5.000000,0.989948
B_T4_PC_w4_depolarization_cell,T4,2.000000,PC,1,4,160.000000,-7.000000,depolarization,4.857399,cell,,,
B_T4_PC_w4_depolarization_cell,T4,15.000000,PC,1,4,160.000000,-7.000000,depolarization,2.810262,cell,,,
B_T4_PC_w4_depolarization_cell,T4,2.000000,PC,1,4,160.000000,-6.000000,depolarization,7.525313,cell,,,
B_T4_PC_w4_depolarization_cell,T4,3.000000,PC,1,4,160.000000,-6.000000,depolarization,5.758842,cell,,,
