cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
Mi14,720575940621128557,4,1,1,274,4.0,4,4,-12.0,-12,-12,-12.0,-12.0,-12.0,-2.0,-2.0,-2.0
Mi14,720575940637081719,28,12,"2, 2, 2, 2, 1, 1, 1, 1",276,1.5,3,0,-5.25,-4,-6,-5.25,-4.0,-6.0,-1.125,0.0,-2.5
Mi14,720575940621500342,29,16,"2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1",279,-8.375,-7,-10,7.938,10,5,7.938,10.0,5.0,-4.406,-3.0,-6.0
Mi14,720575940615739458,24,15,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",280,0.533,4,-3,11.667,14,10,11.667,14.0,10.0,6.367,9.0,4.0
Mi14,720575940659739777,28,14,"2, 2, 2, 2, 2, 1, 1, 1, 1",283,-5.929,-4,-8,7.571,9,5,7.571,9.0,5.0,-2.143,-0.5,-4.0
Mi14,720575940620884719,29,10,"2, 2, 1, 1, 1, 1, 1, 1",289,-6.0,-4,-8,1.2,3,0,1.2,3.0,0.0,-5.4,-4.0,-7.0
Mi14,720575940630919931,31,13,"2, 2, 2, 1, 1, 1, 1, 1, 1, 1",292,-13.154,-12,-15,8.231,9,7,8.231,9.0,7.0,-9.038,-7.5,-10.5
Mi14,720575940630135351,14,8,"2, 2, 1, 1, 1, 1",296,10.25,12,9,-2.125,-1,-4,-2.125,-1.0,-4.0,9.188,10.0,8.5
Mi14,720575940634317779,42,20,"2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",301,-13.25,-10,-17,10.25,12,8,10.25,12.0,8.0,-8.125,-5.5,-11.0
Mi14,720575940645549860,23,8,"2, 2, 2, 1, 1",302,-6.0,-5,-7,-5.375,-5,-6,-5.375,-5.0,-6.0,-8.688,-7.5,-9.5
Mi14,720575940635665259,33,21,"2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",303,-15.905,-13,-18,10.429,14,8,10.429,14.0,8.0,-10.69,-7.5,-12.5
Mi14,720575940629456375,13,8,"2, 1, 1, 1, 1, 1, 1",313,6.625,9,5,-14.625,-13,-16,-14.625,-13.0,-16.0,-0.688,1.5,-2.0
Mi14,720575940614753703,23,7,"2, 1, 1, 1, 1, 1",328,9.857,12,8,-11.286,-10,-13,-11.286,-10.0,-13.0,4.214,5.5,3.0
Mi14,720575940605830502,23,10,"2, 2, 1, 1, 1, 1, 1, 1",329,-12.4,-11,-14,-0.2,2,-2,-0.2,2.0,-2.0,-12.5,-11.5,-14.0
Mi14,720575940637157488,12,7,"2, 2, 1, 1, 1",341,15.286,17,14,-12.714,-12,-14,-12.714,-12.0,-14.0,8.929,10.5,7.0
Mi14,720575940605505760,24,9,"2, 1, 1, 1, 1, 1, 1, 1",353,-9.889,-8,-12,-4.222,-2,-5,-4.222,-2.0,-5.0,-12.0,-10.5,-13.5
Mi14,720575940631620427,32,17,"2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1",363,9.412,11,7,-14.176,-12,-16,-14.176,-12.0,-16.0,2.324,4.0,0.0
Mi14,720575940624553736,23,12,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1",383,-10.833,-9,-13,11.167,14,10,11.167,14.0,10.0,-5.25,-3.5,-7.0
Mi14,720575940623679368,41,19,"2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1",398,-13.895,-12,-16,5.579,7,3,5.579,7.0,3.0,-11.105,-9.0,-13.0
Mi14,720575940617843851,49,40,"4, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1",401,8.125,11,6,3.075,6,0,3.075,6.0,0.0,9.662,11.5,7.5
Mi14,720575940624950247,29,14,"2, 2, 2, 2, 2, 1, 1, 1, 1",404,-10.571,-10,-12,2.214,4,0,2.214,4.0,0.0,-9.464,-8.0,-10.5
Mi14,720575940617198521,19,7,"2, 2, 1, 1, 1",405,-1.714,-1,-3,-5.571,-4,-7,-5.571,-4.0,-7.0,-4.5,-3.5,-5.5
Mi14,720575940611947669,29,18,"2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",407,-0.278,2,-3,9.889,11,8,9.889,11.0,8.0,4.667,6.5,2.5
Mi14,720575940627696145,11,7,"2, 1, 1, 1, 1, 1",423,11.857,13,11,-6.286,-5,-7,-6.286,-5.0,-7.0,8.714,9.5,7.5
Mi14,720575940640810840,36,14,"3, 2, 2, 1, 1, 1, 1, 1, 1, 1",426,-2.786,-1,-5,5.786,8,4,5.786,8.0,4.0,0.107,1.5,-1.5
Mi14,720575940624712521,36,17,"2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1",434,-6.353,-5,-8,5.059,6,4,5.059,6.0,4.0,-3.824,-2.0,-5.5
Mi14,720575940620309743,33,21,"2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",439,2.143,4,0,4.571,7,2,4.571,7.0,2.0,4.429,6.0,2.5
Mi14,720575940612844693,24,10,"2, 2, 1, 1, 1, 1, 1, 1",451,-5.7,-4,-7,-7.9,-6,-9,-7.9,-6.0,-9.0,-9.65,-8.0,-10.5
Mi14,720575940624993287,22,6,"1, 1, 1, 1, 1, 1",453,-8.833,-7,-10,-6.667,-5,-9,-6.667,-5.0,-9.0,-12.167,-10.5,-13.5
Mi14,720575940629017340,36,17,"2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1",465,3.176,6,1,-5.706,-4,-7,-5.706,-4.0,-7.0,0.324,2.5,-1.5
Mi14,720575940640735603,32,13,"2, 2, 2, 1, 1, 1, 1, 1, 1, 1",466,-6.308,-5,-9,-1.692,0,-3,-1.692,0.0,-3.0,-7.154,-6.0,-9.0
Mi14,720575940622344225,13,12,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",467,8.083,11,6,4.583,7,3,4.583,7.0,3.0,10.375,13.0,9.0
Mi14,720575940624181767,29,15,"2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1",470,8.933,11,7,-9.2,-8,-11,-9.2,-8.0,-11.0,4.333,6.5,2.5
Mi14,720575940622658593,26,13,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1",479,-7.385,-6,-9,4.154,6,2,4.154,6.0,2.0,-5.308,-4.0,-7.0
Mi14,720575940616171476,36,16,"2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1",482,-7.062,-5,-9,-2.75,-1,-4,-2.75,-1.0,-4.0,-8.438,-6.5,-10.0
