cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
TmY3,720575940632775646,49,35,"8, 7, 5, 5, 4, 3, 1, 1, 1",644,-15.2,-13,-17,11.743,13,11,11.743,13.0,11.0,-9.329,-7.5,-11.0
TmY3,720575940647799940,45,32,"7, 7, 6, 4, 2, 2, 1, 1, 1, 1",645,-17.188,-16,-18,7.156,10,6,7.156,10.0,6.0,-13.609,-12.5,-15.0
TmY3,720575940632912721,62,44,"9, 7, 7, 7, 4, 3, 2, 2, 1, 1, 1",649,-2.864,-2,-4,1.159,4,0,1.159,4.0,0.0,-2.284,-1.0,-4.0
TmY3,720575940625136142,35,27,"5, 4, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1",650,9.778,12,7,4.963,7,2,4.963,7.0,2.0,12.259,13.5,10.5
TmY3,720575940626741129,56,39,"8, 7, 7, 7, 6, 3, 1",651,-1.077,0,-2,7.256,8,6,7.256,8.0,6.0,2.551,3.5,1.5
TmY3,720575940610738018,45,32,"7, 6, 6, 4, 3, 3, 2, 1",652,-0.219,1,-2,11.031,12,10,11.031,12.0,10.0,5.297,6.5,3.5
TmY3,720575940634642969,40,29,"7, 6, 4, 4, 3, 2, 1, 1, 1",653,0.483,3,-2,11.552,13,10,11.552,13.0,10.0,6.259,8.0,4.5
TmY3,720575940621250013,59,43,"9, 7, 6, 5, 5, 5, 2, 2, 1, 1",654,-6.93,-6,-8,5.744,7,4,5.744,7.0,4.0,-4.058,-3.0,-5.5
TmY3,720575940629441897,55,42,"7, 7, 6, 6, 4, 4, 3, 3, 1, 1",655,7.214,8,6,-13.143,-12,-15,-13.143,-12.0,-15.0,0.643,2.0,-0.5
TmY3,720575940631474775,33,25,"6, 6, 3, 3, 3, 2, 1, 1",656,6.2,8,5,-0.96,0,-2,-0.96,0.0,-2.0,5.72,7.5,4.0
TmY3,720575940635416238,57,42,"8, 7, 7, 5, 3, 2, 2, 2, 2, 1, 1, 1, 1",665,8.452,10,7,-13.643,-12,-15,-13.643,-12.0,-15.0,1.631,3.0,0.0
TmY3,720575940630195004,26,19,"4, 4, 3, 2, 2, 2, 1, 1",667,14.684,16,14,-2.421,-1,-4,-2.421,-1.0,-4.0,13.474,14.5,12.5
TmY3,720575940626885676,66,53,"8, 7, 7, 7, 6, 5, 3, 3, 1, 1, 1, 1, 1, 1, 1",668,-7.528,-6,-10,-3.321,-2,-5,-3.321,-2.0,-5.0,-9.189,-7.5,-11.0
TmY3,720575940612512498,50,37,"7, 6, 6, 4, 3, 3, 2, 2, 1, 1, 1, 1",669,12.459,14,10,-7.595,-6,-10,-7.595,-6.0,-10.0,8.662,10.0,6.5
TmY3,720575940628894780,55,38,"7, 7, 7, 5, 4, 3, 2, 1, 1, 1",672,-13.316,-12,-15,14.737,16,13,14.737,16.0,13.0,-5.947,-4.0,-8.0
TmY3,720575940627318031,60,43,"8, 7, 7, 7, 6, 3, 2, 1, 1, 1",682,10.209,11,9,-12.14,-11,-14,-12.14,-11.0,-14.0,4.14,5.5,2.5
