cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
Tm5a,720575940612289122,14,6,"3, 1, 1, 1",676,7.667,8,7,4.667,6,4,4.667,6.0,4.0,10.0,10.5,9.5
Tm5a,720575940636312439,32,12,"3, 2, 2, 1, 1, 1, 1, 1",682,9.917,11,9,-11.75,-10,-14,-11.75,-10.0,-14.0,4.042,5.0,3.0
Tm5a,720575940622825204,14,5,"3, 2",686,16.0,16,16,-10.4,-10,-11,-10.4,-10.0,-11.0,10.8,11.0,10.5
Tm5a,720575940628399493,4,1,1,688,-12.0,-12,-12,14.0,14,14,14.0,14.0,14.0,-5.0,-5.0,-5.0
Tm5a,720575940625378377,26,5,"3, 2",698,9.6,10,9,-12.6,-12,-13,-12.6,-12.0,-13.0,3.3,3.5,3.0
Tm5a,720575940634262241,8,3,3,700,-2.0,-2,-2,-11.0,-11,-11,-11.0,-11.0,-11.0,-7.5,-7.5,-7.5
Tm5a,720575940639388494,15,3,3,705,1.0,1,1,-3.0,-3,-3,-3.0,-3.0,-3.0,-0.5,-0.5,-0.5
Tm5a,720575940636345967,8,2,2,714,-1.0,-1,-1,-10.0,-10,-10,-10.0,-10.0,-10.0,-6.0,-6.0,-6.0
Tm5a,720575940616999739,15,4,4,716,7.0,7,7,-8.0,-8,-8,-8.0,-8.0,-8.0,3.0,3.0,3.0
Tm5a,720575940640083584,9,2,"1, 1",723,5.5,7,4,1.5,3,0,1.5,3.0,0.0,6.25,7.0,5.5
Tm5a,720575940629507175,9,3,"2, 1",730,7.0,7,7,-13.667,-13,-14,-13.667,-13.0,-14.0,0.167,0.5,0.0
Tm5a,720575940627105610,6,3,3,732,-6.0,-6,-6,6.0,6,6,6.0,6.0,6.0,-3.0,-3.0,-3.0
Tm5a,720575940609155083,5,2,"1, 1",735,12.0,13,11,-2.5,-2,-3,-2.5,-2.0,-3.0,10.75,11.5,10.0
Tm5a,720575940622528380,8,2,"1, 1",736,-8.5,-8,-9,15.5,16,15,15.5,16.0,15.0,-0.75,-0.5,-1.0
Tm5a,720575940634814831,5,4,"2, 2",737,-9.0,-9,-9,-1.5,-1,-2,-1.5,-1.0,-2.0,-9.75,-9.5,-10.0
Tm5a,720575940627585045,9,3,3,741,5.0,5,5,4.0,4,4,4.0,4.0,4.0,7.0,7.0,7.0
Tm5a,720575940616218324,7,3,3,742,-9.0,-9,-9,7.0,7,7,7.0,7.0,7.0,-5.5,-5.5,-5.5
Tm5a,720575940628136708,6,3,3,745,-6.0,-6,-6,-1.0,-1,-1,-1.0,-1.0,-1.0,-6.5,-6.5,-6.5
Tm5a,720575940636903031,9,3,3,747,-1.0,-1,-1,0.0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0
Tm5a,720575940622263073,11,4,"2, 1, 1",750,15.75,16,15,-8.25,-7,-9,-8.25,-7.0,-9.0,11.625,12.0,11.5
Tm5a,720575940611768418,15,4,"3, 1",757,2.75,3,2,0.25,1,0,0.25,1.0,0.0,2.875,3.0,2.5
Tm5a,720575940628063228,9,2,"1, 1",761,5.5,6,5,7.5,8,7,7.5,8.0,7.0,9.25,9.5,9.0
Tm5a,720575940621266870,1,1,1,762,-7.0,-7,-7,0.0,0,0,0.0,0.0,0.0,-7.0,-7.0,-7.0
Tm5a,720575940616452213,7,2,"1, 1",773,15.0,15,15,-10.5,-10,-11,-10.5,-10.0,-11.0,9.75,10.0,9.5
Tm5a,720575940620083579,4,0,,,,,,,,,,,,,,
Tm5a,720575940620166279,4,0,,,,,,,,,,,,,,
Tm5a,720575940625106446,3,0,,,,,,,,,,,,,,
Tm5a,720575940630752453,1,0,,,,,,,,,,,,,,
Tm5a,720575940631038508,1,0,,,,,,,,,,,,,,
Tm5a,720575940635210847,3,0,,,,,,,,,,,,,,
Tm5a,720575940637652581,4,0,,,,,,,,,,,,,,
