cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
Tm5b,720575940617560118,10,3,"2, 1",437,-9.333,-9,-10,6.333,7,6,6.333,7.0,6.0,-6.167,-6.0,-6.5
Tm5b,720575940635060660,15,4,"2, 2",443,-7.5,-7,-8,12.0,12,12,12.0,12.0,12.0,-1.5,-1.0,-2.0
Tm5b,720575940618864263,16,2,"1, 1",449,14.5,15,14,-12.5,-12,-13,-12.5,-12.0,-13.0,8.25,8.5,8.0
Tm5b,720575940606098860,17,5,"3, 2",450,6.6,7,6,-4.6,-4,-5,-4.6,-4.0,-5.0,4.3,4.5,4.0
Tm5b,720575940623004184,21,7,"3, 2, 1, 1",459,6.857,7,6,-11.0,-10,-12,-11.0,-10.0,-12.0,1.357,2.0,1.0
Tm5b,720575940627500304,9,6,"2, 2, 1, 1",462,-10.0,-9,-11,2.5,3,2,2.5,3.0,2.0,-8.75,-8.0,-9.5
Tm5b,720575940605062601,8,2,"1, 1",469,-12.5,-12,-13,13.0,13,13,13.0,13.0,13.0,-6.0,-5.5,-6.5
Tm5b,720575940618052865,19,4,"2, 1, 1",470,9.0,10,8,-8.5,-8,-9,-8.5,-8.0,-9.0,4.75,6.0,4.0
Tm5b,720575940620283813,5,3,"1, 1, 1",479,-6.667,-6,-7,4.0,5,3,4.0,5.0,3.0,-4.667,-4.5,-5.0
Tm5b,720575940622353740,10,1,1,480,13.0,13,13,-7.0,-7,-7,-7.0,-7.0,-7.0,9.5,9.5,9.5
Tm5b,720575940623145098,19,5,"3, 1, 1",483,5.8,6,5,-4.6,-4,-5,-4.6,-4.0,-5.0,3.5,4.0,3.0
Tm5b,720575940642686624,17,3,"2, 1",486,0.333,1,0,-1.0,-1,-1,-1.0,-1.0,-1.0,-0.167,0.5,-0.5
Tm5b,720575940626287408,7,3,"2, 1",489,-7.667,-7,-8,6.0,6,6,6.0,6.0,6.0,-4.667,-4.0,-5.0
Tm5b,720575940632731309,14,3,"1, 1, 1",490,-8.0,-7,-9,10.333,11,10,10.333,11.0,10.0,-2.833,-2.0,-3.5
Tm5b,720575940619588334,16,4,"2, 2",491,8.5,9,8,-15.0,-15,-15,-15.0,-15.0,-15.0,1.0,1.5,0.5
Tm5b,720575940639883509,5,1,1,492,-6.0,-6,-6,14.0,14,14,14.0,14.0,14.0,1.0,1.0,1.0
Tm5b,720575940625751224,16,5,"2, 1, 1, 1",497,5.6,6,5,-13.4,-13,-14,-13.4,-13.0,-14.0,-1.1,-0.5,-2.0
Tm5b,720575940627003180,11,4,"2, 1, 1",498,1.0,2,0,-12.25,-12,-13,-12.25,-12.0,-13.0,-5.125,-4.5,-6.0
Tm5b,720575940611021298,11,4,"2, 1, 1",499,0.25,1,0,-10.5,-10,-11,-10.5,-10.0,-11.0,-5.0,-4.5,-5.5
Tm5b,720575940615664908,29,7,"4, 1, 1, 1",504,-6.0,-5,-7,3.286,4,3,3.286,4.0,3.0,-4.357,-3.5,-5.0
Tm5b,720575940609260483,8,4,4,508,-10.0,-10,-10,9.0,9,9,9.0,9.0,9.0,-5.5,-5.5,-5.5
Tm5b,720575940618306009,7,1,1,513,3.0,3,3,7.0,7,7,7.0,7.0,7.0,6.5,6.5,6.5
Tm5b,720575940624481988,15,4,"2, 1, 1",513,2.5,3,2,7.25,8,6,7.25,8.0,6.0,6.125,6.5,6.0
Tm5b,720575940627947806,12,2,"1, 1",519,-2.5,-2,-3,9.5,10,9,9.5,10.0,9.0,2.25,2.5,2.0
Tm5b,720575940622344316,19,4,"1, 1, 1, 1",520,9.0,10,8,4.25,5,3,4.25,5.0,3.0,11.125,11.5,10.5
Tm5b,720575940625987770,15,5,"2, 2, 1",521,10.8,11,10,-13.4,-13,-14,-13.4,-13.0,-14.0,4.1,4.5,3.5
Tm5b,720575940612076401,12,2,2,526,5.0,5,5,0.0,0,0,0.0,0.0,0.0,5.0,5.0,5.0
Tm5b,720575940627101130,20,7,"2, 2, 2, 1",527,0.143,1,-1,7.571,9,7,7.571,9.0,7.0,3.929,4.5,3.5
Tm5b,720575940615374954,8,1,1,533,8.0,8,8,0.0,0,0,0.0,0.0,0.0,8.0,8.0,8.0
Tm5b,720575940632870564,8,3,3,534,2.0,2,2,-6.0,-6,-6,-6.0,-6.0,-6.0,-1.0,-1.0,-1.0
Tm5b,720575940634224409,23,7,"2, 2, 2, 1",538,-3.857,-3,-5,6.571,8,6,6.571,8.0,6.0,-0.571,0.0,-1.0
Tm5b,720575940629324443,14,3,"2, 1",544,10.333,11,10,-7.333,-7,-8,-7.333,-7.0,-8.0,6.667,7.0,6.5
Tm5b,720575940639410741,14,2,2,549,5.0,5,5,-1.0,-1,-1,-1.0,-1.0,-1.0,4.5,4.5,4.5
Tm5b,720575940621807088,19,4,4,557,11.0,11,11,-12.0,-12,-12,-12.0,-12.0,-12.0,5.0,5.0,5.0
Tm5b,720575940623518346,19,4,"1, 1, 1, 1",563,11.5,12,11,-11.0,-10,-12,-11.0,-10.0,-12.0,6.0,6.5,5.5
Tm5b,720575940645609582,15,2,2,564,15.0,15,15,-7.0,-7,-7,-7.0,-7.0,-7.0,11.5,11.5,11.5
Tm5b,720575940618033894,11,3,"1, 1, 1",565,12.667,13,12,-0.333,0,-1,-0.333,0.0,-1.0,12.5,13.0,12.0
Tm5b,720575940646606388,21,4,"3, 1",566,9.0,9,9,-10.25,-10,-11,-10.25,-10.0,-11.0,3.875,4.0,3.5
Tm5b,720575940625086026,11,3,"1, 1, 1",568,-1.667,-1,-2,12.333,13,12,12.333,13.0,12.0,4.5,5.0,4.0
Tm5b,720575940650179193,10,2,"1, 1",572,-9.0,-9,-9,14.5,15,14,14.5,15.0,14.0,-1.75,-1.5,-2.0
Tm5b,720575940627265641,14,2,"1, 1",577,12.0,12,12,-10.5,-10,-11,-10.5,-10.0,-11.0,6.75,7.0,6.5
Tm5b,720575940621507206,18,7,"4, 2, 1",589,1.714,2,1,1.429,2,1,1.429,2.0,1.0,2.429,3.0,2.0
