cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
46,Tm5f,1.010377,2.055029,0.981954,0.992785,0.367652,-50.000000,-50.000000,0.969260,351.768677,10.000000,198.086166,0.000000,2.050916,2.055029,2.055331,0.000302
47,TmY10,1.035894,0.131012,0.981954,1.004694,0.476763,-50.000000,-50.000000,1.013019,351.135620,10.000000,198.086166,0.000000,0.135155,0.131012,0.125585,-0.005427
48,TmY11,0.987430,-9.939225,0.981954,1.047826,0.282193,-50.000000,-50.000000,0.985432,349.684998,10.000000,198.086166,0.000000,-9.907571,-9.939225,-9.947867,-0.008642
49,TmY14,1.023574,11.132355,0.981954,1.001375,0.313596,-50.000000,-50.000000,0.988399,350.945526,10.000000,198.086166,0.000000,11.105709,11.132355,11.141028,0.008674
50,TmY15,1.038359,12.097761,0.981954,0.970233,0.115244,-50.000000,-50.000000,0.973344,350.069794,10.000000,198.086166,0.000000,12.065012,12.097761,12.111254,0.013493
51,TmY3,1.017728,6.570173,0.981954,1.035831,0.133565,-50.000000,-50.000000,0.966727,352.388092,10.000000,198.086166,0.000000,6.561867,6.570173,6.565315,-0.004858
52,TmY4,1.048195,1.661574,0.981954,1.045851,0.173315,-50.000000,-50.000000,1.013720,349.191132,10.000000,198.086166,0.000000,1.662188,1.661574,1.655644,-0.005930
53,TmY5a,0.997479,5.943929,0.981954,1.025865,0.084181,-50.000000,-50.000000,0.985706,348.954956,10.000000,198.086166,0.000000,5.924394,5.943929,5.953499,0.009570
54,TmY9q,0.979588,3.009616,0.981954,1.023664,-0.066774,-50.000000,-50.000000,0.973540,348.100006,10.000000,198.086166,0.000000,3.006103,3.009616,3.003934,-0.005682
55,TmY9q__perp,1.017683,2.891843,0.981954,1.014072,-0.173560,-50.000000,-50.000000,1.031175,351.284180,10.000000,198.086166,0.000000,2.887984,2.891843,2.887086,-0.004757
