type,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
Tm1,720575940628369738,12,1,1,274,4.0,4,4,-12.0,-12,-12,-12.0,-12.0,-12.0,-2.0,-2.0,-2.0
Tm1,720575940625693284,25,6,6,275,-7.0,-7,-7,15.0,15,15,15.0,15.0,15.0,0.5,0.5,0.5
Tm1,720575940611486131,19,5,5,276,1.0,1,1,-5.0,-5,-5,-5.0,-5.0,-5.0,-1.5,-1.5,-1.5
Tm1,720575940634942615,16,4,4,277,9.0,9,9,-15.0,-15,-15,-15.0,-15.0,-15.0,1.5,1.5,1.5
Tm1,720575940632621278,25,7,7,278,-10.0,-10,-10,10.0,10,10,10.0,10.0,10.0,-5.0,-5.0,-5.0
Tm1,720575940615130763,26,7,7,279,-8.0,-8,-8,8.0,8,8,8.0,8.0,8.0,-4.0,-4.0,-4.0
Tm1,720575940629041659,20,4,4,280,1.0,1,1,12.0,12,12,12.0,12.0,12.0,7.0,7.0,7.0
Tm1,720575940621483363,22,5,"4, 1",281,-9.8,-9,-10,17.8,18,17,17.8,18.0,17.0,-0.9,-0.5,-1.0
Tm1,720575940613587935,20,5,5,282,-13.0,-13,-13,0.0,0,0,0.0,0.0,0.0,-13.0,-13.0,-13.0
Tm1,720575940623433876,25,7,7,283,-6.0,-6,-6,8.0,8,8,8.0,8.0,8.0,-2.0,-2.0,-2.0
Tm1,720575940621146733,16,5,5,284,-12.0,-12,-12,-1.0,-1,-1,-1.0,-1.0,-1.0,-12.5,-12.5,-12.5
Tm1,720575940607815346,19,5,5,285,15.0,15,15,-12.0,-12,-12,-12.0,-12.0,-12.0,9.0,9.0,9.0
Tm1,720575940636516215,23,6,6,286,12.0,12,12,0.0,0,0,0.0,0.0,0.0,12.0,12.0,12.0
Tm1,720575940621394714,22,5,5,287,-11.0,-11,-11,9.0,9,9,9.0,9.0,9.0,-6.5,-6.5,-6.5
Tm1,720575940611444088,14,1,1,288,-16.0,-16,-16,2.0,2,2,2.0,2.0,2.0,-15.0,-15.0,-15.0
Tm1,720575940621948637,22,4,"3, 1",289,-5.75,-5,-6,0.75,1,0,0.75,1.0,0.0,-5.375,-5.0,-5.5
Tm1,720575940625281267,16,3,"2, 1",290,17.0,17,17,-9.667,-9,-10,-9.667,-9.0,-10.0,12.167,12.5,12.0
Tm1,720575940632486044,19,3,3,291,6.0,6,6,-14.0,-14,-14,-14.0,-14.0,-14.0,-1.0,-1.0,-1.0
Tm1,720575940640380379,21,3,3,292,-13.0,-13,-13,8.0,8,8,8.0,8.0,8.0,-9.0,-9.0,-9.0
Tm1,720575940636544174,26,4,4,293,13.0,13,13,-9.0,-9,-9,-9.0,-9.0,-9.0,8.5,8.5,8.5
Tm1,720575940627818877,20,4,4,294,11.0,11,11,-2.0,-2,-2,-2.0,-2.0,-2.0,10.0,10.0,10.0
Tm1,720575940638156772,13,1,1,295,-16.0,-16,-16,3.0,3,3,3.0,3.0,3.0,-14.5,-14.5,-14.5
Tm1,720575940628617734,22,5,5,296,10.0,10,10,-2.0,-2,-2,-2.0,-2.0,-2.0,9.0,9.0,9.0
Tm1,720575940631506474,17,3,3,297,12.0,12,12,-15.0,-15,-15,-15.0,-15.0,-15.0,4.5,4.5,4.5
