cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
10,Mi4,2.000000,8.700222,1.835119,1.585243,-9.287709,-100.000000,-100.000000,0.158999,352.974701,10.000000,196.798126,0.000000,-45.780037,-46.074635,-46.685352,-0.610718,8.700963,8.658364,8.564608,-0.093757,8.700963,8.700221,8.694086,-0.006135
11,Mi9,2.000000,10.274093,1.835119,1.550622,-38.152267,-100.000000,-100.000000,0.166487,351.867920,18.244265,207.951675,0.000000,-38.289986,-38.218254,-38.209759,0.008495,10.273895,10.285838,10.287252,0.001414,10.273895,10.274092,10.275233,0.001142
12,T4a,0.978675,50.000000,1.835119,4.724255,-11.564198,-100.000000,-100.000000,1.004302,350.779175,10.000000,192.464218,0.000000,-65.517616,-66.669617,-66.098763,0.570854,66.267494,65.870880,66.411003,0.540123,66.267494,66.260765,66.236053,-0.024712
13,T4b,1.021613,50.000000,1.835119,0.508630,-1.394445,-100.000000,-100.000000,1.033789,352.221985,10.000000,201.226227,0.000000,-1.841561,-1.973002,-1.776899,0.196103,101.475113,101.339241,101.541962,0.202721,101.475113,101.472778,101.464806,-0.007973
14,T4c,1.048394,50.000000,1.835119,3.239039,-10.821045,-100.000000,-100.000000,0.982049,348.262421,10.000000,202.315674,0.000000,-58.313751,-59.123692,-59.095139,0.028553,59.150188,58.938477,59.251274,0.312798,59.150188,59.146420,59.134827,-0.011593
15,T4d,1.030028,50.000000,1.835119,10.000000,7.881425,-100.000000,-100.000000,0.967364,348.044250,44.962814,201.321198,0.000000,-49.090553,-49.183090,-49.271923,-0.088833,65.872002,65.893410,66.010201,0.116791,65.872002,65.872322,65.877083,0.004761
16,Tm1,2.000000,15.621851,1.835119,0.100000,-6.075684,-100.000000,-100.000000,0.194850,347.252777,10.000000,208.339905,0.000000,-19.827106,-19.789881,-19.911722,-0.121841,15.621722,15.628976,15.605234,-0.023742,15.621722,15.621851,15.622124,0.000273
17,Tm2,2.000000,11.107146,1.835119,0.100000,-6.284515,-100.000000,-100.000000,0.131637,351.414215,10.000000,209.107742,0.000000,-15.622331,-15.669484,-15.698721,-0.029237,11.107255,11.101048,11.097199,-0.003848,11.107255,11.107146,11.106569,-0.000577
18,Tm4,2.000000,15.963073,1.835119,2.110960,-1.728195,-100.000000,-100.000000,0.173867,348.315369,10.000000,200.687271,0.000000,-8.191070,-8.024696,-8.142167,-0.117471,15.962561,15.991487,15.971062,-0.020425,15.962561,15.963070,15.965238,0.002168
19,Tm9,1.567335,9.637386,1.835119,2.324768,-0.017072,-100.000000,-100.000000,0.100000,347.879791,32.587845,207.728851,0.000000,-3.626800,-3.585661,-3.532936,0.052725,9.637321,9.641435,9.646707,0.005272,9.637321,9.637385,9.637904,0.000519
20,T5a,0.985783,50.000000,1.835119,6.053521,-9.991962,-100.000000,-100.000000,1.002515,347.691376,13.621511,190.042267,0.000000,193.438217,197.767380,203.578613,5.811234,294.817017,299.215057,305.101837,5.886780,294.817017,294.889709,295.413300,0.523590
21,T5b,1.028097,50.000000,1.835119,8.001475,-5.389431,-100.000000,-100.000000,1.003053,351.402924,23.915991,193.903824,0.000000,149.120804,151.876633,156.905334,5.028702,249.881470,252.645721,257.689789,5.044067,249.881470,249.925430,250.291611,0.366180
22,T5c,0.990066,50.000000,1.835119,8.270021,-6.545187,-100.000000,-100.000000,0.998897,347.774078,10.000000,190.707382,0.000000,199.735413,201.914886,203.596283,1.681396,301.735046,304.051697,305.866913,1.815216,301.735046,301.775146,302.008301,0.233154
23,T5d,0.975349,50.000000,1.835119,9.256421,11.661664,-100.000000,-100.000000,0.954566,352.489594,42.831661,196.885788,0.000000,72.882957,72.869942,72.829636,-0.040306,181.611908,181.844696,182.281952,0.437256,181.611908,181.615555,181.647095,0.031540
24,T1,0.977936,50.000000,1.835119,0.100000,-17.993065,-100.000000,-100.000000,0.955449,348.878082,36.034279,197.690506,0.000000,-25.564688,-24.983829,-24.637308,0.346521,72.747559,73.282272,73.651596,0.369324,72.747559,72.756157,72.817451,0.061295
